payment_id,reference_type,reference_id,payment_date,amount,method
100080,service,80120,2026-04-05,723.07,check
100081,service,80121,2026-01-16,1604.0,card
100082,service,80122,2024-11-16,3759.66,card
100083,service,80126,2024-10-07,3612.21,card
100084,service,80130,2026-04-07,7910.6,cash
100085,service,80131,2025-03-16,7029.21,financing
100086,service,80134,2025-02-14,1424.4,financing
100087,service,80135,2025-12-31,2895.39,card
100088,service,80137,2025-12-28,323.9,cash
100089,service,80137,2025-12-28,323.9,check
100090,service,80138,2025-07-08,1821.32,financing
100091,service,80141,2025-11-24,3293.58,cash
100092,service,80142,2025-06-10,2309.57,card
100093,service,80142,2025-06-10,2309.57,card
100094,service,80143,2025-04-11,1988.12,cash
100095,service,80143,2025-04-11,1988.12,check
100096,service,80145,2025-06-27,1197.14,card
100097,service,80145,2025-06-27,1197.14,financing
100098,service,80146,2024-08-17,229.38,check
100099,service,80146,2024-08-17,229.38,financing
100100,service,80148,2025-03-08,1917.27,cash
100101,service,80151,2026-01-28,1800.84,financing
100102,service,80152,2025-09-15,4232.42,financing
100103,service,80153,2026-03-30,4170.28,check
100104,service,80154,2026-04-28,805.5,check
100105,service,80154,2026-04-28,805.5,cash
100106,service,80155,2025-10-22,1986.66,cash
100107,service,80156,2025-03-10,1227.06,check
100108,service,80159,2026-02-13,3218.77,cash
100109,service,80160,2024-11-22,6227.4,cash
100110,service,80162,2026-06-26,1444.04,card
100111,service,80163,2025-04-02,3625.44,cash
100112,service,80163,2025-04-02,3649.47,check
100113,service,80166,2025-09-14,9382.01,card
100114,service,80169,2025-02-24,3486.58,card
100115,service,80171,2026-06-29,5489.0,cash
100116,service,80173,2025-06-04,1209.93,card
100117,service,80174,2026-06-25,2276.5,check
100118,service,80177,2026-06-26,-504.44,financing
100119,service,80179,2024-10-14,253.83,check
100120,service,80180,2026-01-24,3787.94,cash
100121,service,80181,2025-11-19,3790.19,financing
100122,service,80183,2026-05-26,6789.39,cash
100123,service,80185,2025-09-15,3402.82,financing
100124,service,80186,2026-05-26,903.77,card
100125,service,80186,2026-05-26,903.77,check
100126,service,80187,2025-06-17,4054.83,card
100127,service,80189,2025-05-03,3224.4,financing
100128,service,80192,2026-03-31,-350.92,financing
100129,service,80193,2026-01-31,3747.75,check
100130,service,80195,2024-12-04,2783.05,card
100131,service,80195,2024-12-04,2783.05,cash
100132,service,80197,2026-03-05,4666.65,check
100133,service,80198,2024-12-29,727.23,financing
100134,service,80198,2024-12-29,727.23,cash
100135,service,80199,2024-07-09,238.98,financing
100136,service,80200,2026-01-16,4983.77,cash
100137,service,80201,2025-06-08,2382.28,financing
100138,service,80201,2025-06-08,2382.28,check
100139,service,80206,2024-12-26,543.36,card
100140,service,80207,2026-04-24,3231.22,card
100141,service,80211,2026-01-22,2508.85,check
100142,service,80211,2026-01-22,2508.85,check
100143,service,80212,2025-01-08,3502.17,card
100144,service,80215,2026-06-27,10499.34,check
100145,service,80220,2026-04-26,3204.01,financing
100146,service,80220,2026-04-26,3204.01,card
100147,service,80221,2024-09-16,2580.3,cash
100148,service,80222,2025-10-13,2066.02,check
100149,service,80225,2025-10-23,8009.39,card
100150,service,80233,2025-02-12,9269.02,financing
100151,service,80237,2025-07-30,1717.46,financing
100152,service,80238,2026-03-15,814.18,check
100153,service,80242,2026-07-03,3576.26,financing
100154,service,80242,2026-07-03,3553.23,check
100155,service,80243,2025-06-02,2236.32,financing
100156,service,80245,2026-01-27,1938.87,cash
100157,service,80246,2025-11-30,3137.92,card
100158,service,80249,2026-03-16,1268.24,financing
100159,service,80250,2025-07-17,-1836.0,card
100160,service,80254,2026-04-28,7104.64,check
100161,service,80255,2026-05-01,4510.35,check
100162,service,80256,2025-08-06,4223.31,card
100163,service,80256,2025-08-06,4223.31,card
100164,service,80259,2025-04-14,858.66,card
100165,service,80259,2025-04-14,858.66,financing
100166,service,80263,2024-10-22,214.89,cash
100167,service,80263,2024-10-22,214.89,financing
100168,service,80264,2024-10-30,1818.39,check
100169,service,80264,2024-10-30,1818.39,card
100170,service,80266,2025-09-22,3462.6,check
100171,service,80267,2025-08-24,4149.98,cash
100172,service,80268,2025-12-07,4621.47,card
100173,service,80273,2025-07-16,1451.47,financing
100174,service,80274,2025-08-27,5327.1,financing
100175,service,80276,2024-11-07,2534.7,card
100176,service,80279,2024-12-21,1602.31,cash
100177,service,80283,2025-02-12,29.5,cash
100178,service,80283,2025-02-12,29.5,financing
100179,service,80284,2025-03-30,6647.88,card
100180,service,80285,2024-10-20,707.47,check
100181,service,80286,2025-02-16,3145.58,check
100182,service,80286,2025-02-16,3145.58,card
100183,service,80290,2026-06-09,2353.34,cash
100184,service,80291,2026-06-06,4862.7,financing
100185,service,80292,2024-08-15,5892.81,cash
100186,service,80293,2025-11-03,2972.14,financing
100187,service,80294,2024-07-09,2242.45,cash
100188,service,80298,2026-04-23,136.79,check
100189,service,80299,2025-03-26,1045.5,check
100190,service,80299,2025-03-26,1045.5,check
100191,service,80301,2024-09-30,-1149.59,cash
100192,service,80301,2024-09-30,-1160.96,cash
100193,service,80304,2025-06-12,-898.98,financing
100194,service,80304,2025-06-12,-898.98,cash
100195,service,80305,2026-05-03,2594.66,card
100196,service,80306,2024-10-24,201.94,check
100197,service,80306,2024-10-24,201.94,cash
100198,service,80313,2024-11-29,793.33,card
100199,service,80313,2024-11-29,793.33,check
100200,service,80315,2025-04-26,1548.36,card
100201,service,80315,2025-04-26,1548.36,cash
100202,service,80316,2025-04-10,5000.48,check
100203,service,80317,2024-11-09,1515.11,financing
100204,service,80318,2026-07-02,9002.95,card
100205,service,80320,2025-01-21,2074.13,financing
100206,service,80325,2026-05-31,5959.15,cash
100207,service,80326,2024-11-06,4871.3,check
100208,service,80328,2024-10-09,6620.36,cash
100209,service,80330,2025-05-23,1677.59,cash
100210,service,80330,2025-05-23,1677.59,card
100211,service,80331,2026-03-29,4614.22,check
100212,service,80335,2026-04-14,1201.49,cash
100213,service,80336,2026-03-14,2438.65,financing
100214,service,80337,2024-11-26,3949.3,cash
100215,service,80339,2025-02-09,3647.5,financing
100216,service,80340,2025-09-17,9583.72,cash
100217,service,80345,2025-07-22,1025.05,card
100218,service,80347,2025-09-16,1255.87,check
100219,service,80348,2025-03-14,411.42,cash
100220,service,80349,2025-06-06,2069.64,check
100221,service,80350,2026-02-04,1561.29,cash
100222,service,80351,2026-03-13,4509.62,card
100223,service,80351,2026-03-13,4509.62,cash
100224,service,80352,2024-11-15,2421.6,card
100225,service,80355,2025-05-08,3749.46,financing
100226,service,80357,2025-04-20,2148.78,cash
100227,service,80363,2024-07-17,3767.88,check
100228,service,80364,2025-06-03,3331.28,financing
100229,service,80369,2025-09-14,4429.84,check
100230,service,80370,2024-11-20,3325.65,card
100231,service,80374,2025-02-17,5715.08,check
100232,service,80376,2025-01-29,6068.37,card
100233,service,80377,2026-06-08,1673.16,cash
100234,service,80377,2026-06-08,1673.16,financing
100235,service,80382,2024-07-09,601.75,check
100236,service,80382,2024-07-09,601.75,cash
100237,service,80384,2025-03-06,1520.58,card
100238,service,80386,2025-04-23,5136.87,financing
100239,service,80387,2024-10-30,2901.29,financing
100240,service,80388,2025-03-31,1103.35,financing
100241,service,80388,2025-03-31,1103.35,card
100242,service,80390,2025-05-30,1713.44,card
100243,service,80393,2025-01-27,673.96,cash
100244,service,80393,2025-01-27,673.96,cash
100245,service,80396,2025-06-24,2499.44,cash
100246,service,80397,2025-11-17,3247.77,card
100247,service,80401,2024-09-21,286.17,card
100248,service,80401,2024-09-21,286.17,card
100249,service,80402,2025-10-16,1328.5,financing
100250,service,80408,2025-03-21,3208.75,financing
100251,service,80408,2025-03-21,3208.75,financing
100252,service,80413,2024-11-13,475.45,cash
100253,service,80413,2024-11-13,475.45,card
100254,service,80414,2025-07-15,7051.94,check
100255,service,80415,2025-06-08,7738.19,cash
100256,service,80417,2025-11-15,1253.71,card
100257,service,80418,2025-01-30,7208.69,check
100258,service,80419,2026-06-19,490.68,check
100259,service,80423,2024-11-17,325.12,check
100260,service,80426,2025-02-28,715.17,cash
100261,service,80426,2025-02-28,715.17,cash
100262,service,80427,2024-10-02,5522.6,card
100263,service,80428,2025-03-19,4413.87,check
100264,service,80430,2025-07-05,7367.22,cash
100265,service,80431,2025-03-19,772.83,financing
100266,service,80432,2025-07-20,7579.25,check
100267,service,80438,2024-09-24,3499.22,cash
100268,service,80438,2024-09-24,3499.22,check
100269,service,80439,2025-04-20,3894.71,financing
100270,service,80440,2026-02-25,288.51,financing
100271,service,80441,2025-07-03,309.33,card
100272,service,80441,2025-07-03,309.33,financing
100273,service,80442,2025-08-09,8706.61,check
100274,service,80446,2024-07-25,6089.15,card
100275,service,80449,2026-06-19,1555.36,cash
100276,service,80450,2025-05-27,8246.74,financing
100277,service,80451,2026-05-01,1503.66,card
100278,service,80451,2026-05-01,1503.66,card
100279,service,80453,2026-02-19,4999.31,financing
100280,service,80454,2026-04-25,3543.64,card
100281,service,80454,2026-04-25,3543.64,cash
100282,service,80456,2025-10-07,519.9,cash
100283,service,80458,2026-04-04,950.77,financing
100284,service,80461,2024-12-27,430.4,financing
100285,service,80463,2025-11-01,224.31,card
100286,service,80464,2025-07-15,47.6,card
100287,service,80464,2025-07-15,47.6,card
100288,service,80467,2025-02-04,6176.42,financing
100289,service,80468,2026-06-06,2421.62,card
100290,service,80470,2025-04-18,295.61,financing
100291,service,80470,2025-04-18,295.61,cash
100292,service,80471,2025-01-20,2978.86,financing
100293,service,80474,2025-12-14,2007.16,cash
100294,service,80475,2025-06-10,3311.41,card
100295,service,80476,2025-04-03,4691.18,card
100296,service,80478,2025-11-09,7471.58,financing
100297,service,80479,2024-11-28,1823.99,cash
100298,service,80479,2024-11-28,1823.99,cash
100299,service,80480,2025-10-23,700.39,check
100300,service,80486,2025-09-06,3956.52,cash
100301,service,80487,2024-07-20,2190.44,financing
100302,service,80489,2025-09-28,1118.28,card
100303,service,80491,2025-02-07,1777.46,card
100304,service,80493,2025-07-29,4979.79,financing
100305,service,80496,2024-07-24,3104.84,card
100306,service,80498,2026-02-22,5587.68,cash
100307,service,80499,2024-07-29,1933.05,check
100308,service,80500,2026-06-15,2525.96,cash
100309,service,80503,2024-11-05,3426.98,financing
100310,service,80505,2026-01-04,1904.43,cash
100311,service,80505,2026-01-04,1904.43,check
100312,service,80506,2025-09-25,9363.76,check
100313,service,80508,2026-04-11,1628.35,cash
100314,service,80508,2026-04-11,1628.35,card
100315,service,80509,2025-12-05,3459.89,financing
100316,service,80513,2024-11-11,2199.91,card
100317,service,80514,2025-07-28,3690.24,check
100318,service,80515,2024-10-25,260.21,check
100319,service,80515,2024-10-25,260.21,cash
100320,service,80516,2025-10-27,3148.46,card
100321,service,80519,2024-10-05,188.08,financing
100322,service,80520,2024-09-08,4773.59,check
100323,service,80523,2024-12-05,6252.81,card
100324,service,80524,2025-07-12,1557.76,card
100325,service,80524,2025-07-12,1557.76,card
100326,service,80528,2026-06-29,2230.06,card
100327,service,80528,2026-06-29,2230.06,card
100328,service,80531,2025-11-25,338.06,cash
100329,service,80531,2025-11-25,338.06,cash
100330,service,80533,2024-07-07,1460.49,check
100331,service,80535,2025-05-26,1626.4,cash
100332,service,80537,2024-07-08,291.28,cash
100333,service,80540,2025-12-23,1058.94,check
100334,service,80542,2025-10-16,1070.66,financing
100335,service,80542,2025-10-16,1070.66,check
100336,service,80549,2024-08-01,422.4,cash
100337,service,80551,2026-01-25,8572.23,cash
100338,service,80553,2025-07-21,3287.11,card
100339,service,80555,2025-07-21,715.4,financing
100340,service,80556,2025-08-26,1974.6,check
100341,service,80559,2024-10-03,2771.52,cash
100342,service,80568,2026-06-29,2860.9,card
100343,service,80569,2024-09-18,947.44,cash
100344,service,80570,2026-01-31,692.03,financing
100345,service,80570,2026-01-31,692.03,card
100346,service,80578,2026-04-03,2400.73,financing
100347,service,80579,2026-05-13,1776.54,cash
100348,service,80581,2025-11-26,1805.64,check
100349,service,80587,2025-11-27,1214.69,cash
100350,service,80589,2024-10-29,9124.14,card
100351,service,80593,2025-11-13,5628.58,card
100352,service,80598,2024-10-18,4353.84,financing
100353,service,80599,2025-01-27,430.83,financing
100354,service,80603,2024-12-12,4886.15,cash
100355,service,80611,2025-12-09,7170.32,cash
100356,service,80613,2026-06-05,5962.74,check
100357,service,80613,2026-06-05,5962.74,financing
100358,service,80614,2026-03-20,2434.74,financing
100359,service,80615,2025-01-19,2252.69,cash
100360,service,80617,2026-02-13,3372.89,cash
100361,service,80617,2026-02-13,3372.89,financing
100362,service,80618,2026-04-22,3461.32,financing
100363,service,80621,2025-04-06,1566.86,cash
100364,service,80622,2025-12-25,1701.49,financing
100365,service,80622,2025-12-25,1701.49,financing
100366,service,80624,2026-02-08,5886.59,cash
100367,service,80625,2025-12-24,2616.75,cash
100368,service,80626,2025-09-23,6087.98,financing
100369,service,80628,2025-04-01,5299.21,financing
100370,service,80631,2026-03-18,3502.17,cash
100371,service,80633,2024-08-17,5268.21,financing
100372,service,80634,2025-11-08,208.18,card
100373,service,80636,2025-05-01,6323.65,cash
100374,service,80643,2025-01-26,3901.63,cash
100375,service,80644,2026-06-11,704.17,card
100376,service,80644,2026-06-11,704.17,card
100377,service,80645,2025-02-17,3620.12,cash
100378,service,80647,2025-04-06,1968.65,financing
100379,service,80647,2025-04-06,1968.65,cash
100380,service,80648,2026-05-18,2632.64,card
100381,service,80652,2025-01-01,7676.07,financing
100382,service,80653,2025-05-26,1.26,cash
100383,service,80653,2025-05-26,1.26,financing
100384,service,80657,2026-04-22,863.1,card
100385,service,80659,2025-07-16,3011.83,cash
100386,service,80661,2025-04-04,2526.94,check
100387,service,80664,2025-09-28,2752.27,card
100388,service,80666,2026-04-25,3143.99,card
100389,service,80668,2025-10-21,1139.41,card
100390,service,80668,2025-10-21,1139.41,check
100391,service,80672,2026-02-18,1757.42,check
100392,service,80676,2026-04-28,3020.13,card
100393,service,80677,2024-12-17,3703.37,card
100394,service,80678,2025-08-10,5886.83,check
100395,service,80680,2026-02-12,327.93,card
100396,service,80683,2024-11-09,3623.84,financing
100397,service,80686,2025-11-04,774.24,financing
100398,service,80687,2025-09-26,4562.9,financing
100399,service,80688,2025-11-24,1505.95,card
100400,service,80689,2025-02-13,1254.22,cash
100401,service,80690,2025-06-20,1911.93,financing
100402,service,80690,2025-06-20,1911.93,card
100403,service,80693,2025-01-02,9158.27,cash
100404,service,80694,2025-07-22,2561.63,card
100405,service,80694,2025-07-22,2561.63,financing
100406,service,80697,2024-11-21,1784.72,card
100407,service,80699,2025-03-05,1711.9,card
100408,service,80699,2025-03-05,1711.9,check
100409,service,80700,2025-07-25,5281.89,check
100410,service,80703,2024-07-09,549.75,cash
100411,service,80703,2024-07-09,549.75,card
100412,service,80704,2024-12-27,506.91,check
100413,service,80709,2026-07-05,802.48,check
100414,service,80710,2024-12-18,254.14,card
100415,service,80710,2024-12-18,254.14,financing
100416,service,80712,2024-09-26,1228.22,card
100417,service,80714,2024-11-25,1377.42,financing
100418,service,80716,2026-04-15,4025.03,financing
100419,service,80718,2025-11-08,4733.18,check
100420,service,80720,2025-09-02,723.16,card
100421,service,80721,2025-01-14,2161.24,financing
100422,service,80722,2026-02-14,3995.88,card
100423,service,80723,2026-03-20,681.21,financing
100424,service,80723,2026-03-20,681.21,card
100425,service,80724,2024-11-30,466.36,financing
100426,service,80726,2025-03-23,3625.84,financing
100427,service,80732,2025-09-23,1684.12,check
100428,service,80732,2025-09-23,1684.12,financing
100429,service,80733,2026-04-19,4134.43,financing
100430,service,80734,2026-03-22,2449.67,financing
100431,service,80735,2025-06-17,1202.45,cash
100432,service,80736,2026-05-31,2889.38,cash
100433,service,80737,2024-10-03,8609.99,card
100434,service,80739,2024-12-14,190.29,card
100435,service,80739,2024-12-14,190.29,check
100436,service,80741,2024-10-22,1036.71,cash
100437,service,80749,2025-03-17,2159.68,financing
100438,service,80749,2025-03-17,2159.68,check
100439,service,80750,2025-11-06,2457.55,card
100440,service,80753,2024-08-02,7038.48,cash
100441,service,80754,2024-08-13,3791.39,card
100442,service,80755,2026-03-12,-1904.93,financing
100443,service,80756,2025-11-27,84.92,cash
100444,service,80756,2025-11-27,84.92,financing
100445,service,80757,2025-03-09,3456.14,cash
100446,service,80759,2025-01-16,4717.87,financing
100447,service,80760,2026-01-02,3720.3,card
100448,service,80761,2024-09-08,400.73,check
100449,service,80763,2025-03-21,7025.64,card
100450,service,80765,2025-07-01,182.64,financing
100451,service,80766,2025-07-01,4135.23,card
100452,service,80766,2025-07-01,4135.23,check
100453,service,80767,2025-04-19,8326.26,card
100454,service,80770,2024-07-13,3628.74,financing
100455,service,80770,2024-07-13,3628.74,card
100456,service,80771,2025-01-16,745.52,financing
100457,service,80775,2026-02-10,4634.9,check
100458,service,80776,2025-10-10,3845.39,financing
100459,service,80777,2026-03-31,561.3,financing
100460,service,80778,2026-06-25,1460.4,check
100461,service,80781,2025-06-17,878.54,financing
100462,service,80787,2025-11-13,3146.58,financing
100463,service,80788,2025-05-23,1283.33,financing
100464,service,80788,2025-05-23,1283.33,card
100465,service,80790,2025-03-16,4111.98,financing
100466,service,80790,2025-03-16,4111.98,check
100467,service,80792,2025-04-06,4171.52,cash
100468,service,80793,2025-09-11,3092.72,card
100469,service,80794,2025-11-24,2284.2,card
100470,service,80796,2024-11-03,5507.49,card
100471,service,80800,2024-12-21,699.39,cash
100472,service,80802,2024-07-20,737.93,card
100473,service,80803,2025-07-24,1623.93,cash
100474,service,80803,2025-07-24,1623.93,cash
100475,service,80804,2025-07-02,2605.8,check
100476,service,80805,2024-11-06,4721.91,card
100477,service,80806,2024-07-20,5200.48,card
100478,service,80807,2026-05-13,1285.61,cash
100479,service,80807,2026-05-13,1285.61,check
100480,service,80810,2024-10-09,2867.57,cash
100481,service,80810,2024-10-09,2867.57,card
100482,service,80811,2026-04-04,1109.31,financing
100483,service,80812,2024-09-14,3032.9,card
100484,service,80813,2024-09-29,4756.98,cash
100485,service,80816,2025-03-04,2871.7,financing
100486,service,80818,2024-10-16,580.92,card
100487,service,80819,2025-03-23,3277.72,financing
100488,service,80824,2025-11-17,2486.7,card
100489,service,80825,2025-10-11,141.34,cash
100490,service,80831,2024-07-11,3292.79,financing
100491,service,80833,2024-11-23,1798.72,card
100492,service,80839,2026-06-19,941.6,card
100493,service,80841,2026-04-16,7386.34,card
100494,service,80843,2025-10-12,3969.83,check
100495,service,80845,2025-12-14,4050.26,check
100496,service,80846,2026-02-21,5958.48,financing
100497,service,80851,2025-03-12,793.74,cash
100498,service,80856,2025-10-06,3412.8,card
100499,service,80856,2025-10-06,3412.8,cash
100500,service,80858,2025-01-03,257.31,check
100501,service,80858,2025-01-03,257.31,card
100502,service,80859,2025-11-09,185.94,cash
100503,service,80860,2025-04-16,1049.54,card
100504,service,80860,2025-04-16,1049.54,financing
100505,service,80863,2025-02-08,538.02,cash
100506,service,80865,2025-11-15,220.84,financing
100507,service,80865,2025-11-15,220.84,financing
100508,service,80868,2025-02-23,1506.56,check
100509,service,80873,2025-11-27,766.02,cash
100510,service,80873,2025-11-27,766.02,check
100511,service,80877,2025-09-17,3492.59,card
100512,service,80884,2024-07-27,3760.13,financing
100513,service,80885,2024-12-01,4197.18,cash
100514,service,80886,2024-07-11,2709.58,financing
100515,service,80886,2024-07-11,2709.58,cash
100516,service,80888,2025-02-12,62.31,financing
100517,service,80889,2026-02-06,1913.52,cash
100518,service,80889,2026-02-06,1913.52,cash
100519,service,80890,2026-02-09,2653.14,card
100520,service,80890,2026-02-09,2653.14,check
100521,service,80893,2024-09-18,1032.57,check
100522,service,80896,2026-01-01,2784.5,card
100523,service,80896,2026-01-01,2784.5,cash
100524,service,80897,2025-10-06,3808.04,card
100525,service,80899,2026-05-27,4286.33,cash
100526,service,80900,2024-07-21,3452.92,check
100527,service,80904,2025-04-30,2785.83,card
100528,service,80905,2024-12-28,4871.8,card
100529,service,80906,2025-03-07,2115.33,financing
100530,service,80907,2025-07-23,8373.43,financing
100531,service,80909,2026-03-17,8789.24,card
100532,service,80910,2024-10-26,978.6,card
100533,service,80911,2026-04-20,986.16,financing
100534,service,80912,2025-08-29,10102.43,cash
100535,service,80913,2025-05-15,741.76,financing
100536,service,80913,2025-05-15,741.76,card
100537,service,80915,2024-10-10,5306.75,cash
100538,service,80916,2025-07-06,584.76,check
100539,service,80919,2024-12-26,801.97,cash
100540,service,80920,2024-10-01,6911.65,cash
100541,service,80921,2025-11-16,2544.68,cash
100542,service,80921,2025-11-16,2545.28,financing
100543,service,80922,2025-05-05,847.17,cash
100544,service,80923,2025-10-16,2241.17,financing
100545,service,80926,2025-08-12,3518.67,cash
100546,service,80926,2025-08-12,3518.67,card
100547,service,80932,2026-06-19,3092.06,cash
100548,service,80932,2026-06-19,3121.49,financing
100549,service,80934,2025-10-04,317.42,check
100550,service,80936,2024-07-20,1143.69,card
100551,service,80936,2024-07-20,1143.69,financing
100552,service,80937,2026-02-17,3800.54,financing
100553,service,80938,2025-09-24,616.88,cash
100554,service,80940,2026-02-17,4278.88,card
100555,service,80942,2025-06-20,101.95,card
100556,service,80944,2024-07-15,378.74,cash
100557,service,80945,2024-09-19,1397.32,card
100558,service,80945,2024-09-19,1397.32,financing
100559,service,80946,2026-01-21,374.84,card
100560,service,80948,2025-03-16,6602.48,card
100561,service,80949,2025-06-15,3495.34,financing
100562,service,80950,2025-12-12,2014.2,cash
100563,service,80952,2025-07-03,1731.51,card
100564,service,80957,2024-08-03,8228.48,cash
100565,service,80958,2025-06-02,1189.09,card
100566,service,80958,2025-06-02,1189.09,cash
100567,service,80961,2025-04-02,1470.64,check
100568,service,80962,2026-05-20,3958.2,check
100569,service,80963,2025-07-10,3659.96,cash
100570,service,80964,2024-11-30,3998.9,financing
100571,service,80968,2025-04-27,86.26,financing
100572,service,80968,2025-04-27,86.26,financing
100573,service,80969,2025-10-02,10639.6,financing
100574,service,80975,2025-08-09,3806.06,financing
100575,service,80979,2026-05-08,1047.68,cash
100576,service,80979,2026-05-08,1047.68,cash
100577,service,80981,2025-03-17,948.48,card
100578,service,80981,2025-03-17,948.48,card
100579,service,80982,2024-08-12,7046.74,cash
100580,service,80986,2026-05-28,95.14,cash
100581,service,80988,2025-06-01,521.05,cash
100582,service,80990,2024-12-01,313.05,check
100583,service,80992,2026-03-18,2723.53,card
100584,service,80992,2026-03-18,2723.53,check
100585,service,80993,2025-03-05,3290.62,card
100586,service,80994,2025-11-24,4337.43,cash
100587,service,80996,2026-01-19,8351.39,financing
100588,service,80999,2024-09-09,-131.56,check
100589,service,81000,2026-04-16,7644.62,cash
100590,service,81002,2026-04-02,206.49,cash
100591,service,81002,2026-04-02,206.49,financing
100592,service,81010,2026-03-15,226.12,financing
100593,service,81018,2025-09-23,5172.98,card
100594,service,81019,2025-12-30,1845.79,card
100595,service,81019,2025-12-30,1845.79,card
100596,service,81020,2025-05-07,2142.7,check
100597,service,81020,2025-05-07,2142.7,cash
100598,service,81022,2025-03-19,2340.07,cash
100599,service,81023,2024-10-08,464.32,check
100600,service,81023,2024-10-08,464.32,cash
100601,service,81024,2025-11-25,892.17,cash
100602,service,81025,2025-04-30,1474.14,check
100603,service,81026,2026-02-16,1368.26,card
100604,service,81026,2026-02-16,1368.26,cash
100605,service,81027,2024-11-01,1935.4,financing
100606,service,81027,2024-11-01,1935.4,check
100607,service,81028,2026-01-04,4899.2,financing
100608,service,81029,2024-08-13,3566.39,financing
100609,service,81029,2024-08-13,3566.39,check
100610,service,81030,2025-07-23,1353.43,card
100611,service,81032,2025-12-06,709.24,financing
100612,service,81036,2025-01-05,5542.69,financing
100613,service,81037,2025-08-08,2113.92,card
100614,service,81042,2025-09-20,559.67,financing
100615,service,81042,2025-09-20,559.67,financing
100616,service,81043,2026-03-30,1872.43,financing
100617,service,81044,2025-04-21,6827.26,check
100618,service,81045,2026-05-29,3044.91,cash
100619,service,81046,2024-10-19,5333.61,cash
100620,service,81047,2025-08-26,225.12,financing
100621,service,81047,2025-08-26,225.12,financing
100622,service,81050,2025-04-10,4765.82,cash
100623,service,81050,2025-04-10,4765.82,financing
100624,service,81051,2025-09-21,2919.54,card
100625,service,81052,2025-09-21,4230.68,card
100626,service,81056,2025-05-04,3385.33,card
