line_item_id,service_order_id,part_id,line_type,description,quantity,unit_price,line_total
90063,80019,,labor,Diagnostic,2,123.89,247.78
90064,80020,,LABOR,Diagnostic,2,134.5,269.0
90065,80020,,labor,Labor - Inspection,3,123.34,370.02
90066,80021,70033,PART,Battery,3,58.87,176.61
90067,80021,70240,Part,Battery,4,1006.71,4026.84
90068,80021,,Labor,Labor - Oil Change,3,281.71,845.13
90069,80021,70333,part,Spark Plug,2,431.76,863.52
90070,80021,70190,part,Headlight Assembly,3,1345.15,4035.45
90071,80022,70343,Part,Oil Filter,3,1373.22,4119.66
90072,80022,70178,part,Spark Plug,2,482.84,965.68
90073,80022,70437,Part,Battery,2,298.72,597.44
90074,80022,70280,part,Battery,3,930.13,2790.39
90075,80023,70491,Part,Oil Filter,4,421.87,1687.48
90076,80024,70178,Part,Spark Plug,2,482.84,965.68
90077,80024,70070,PART,Battery,4,30.54,122.16
90078,80024,70059,part,Brake Pad Set,3,1468.63,4405.89
90079,80024,,labor,Labor - Inspection,2,143.04,286.08
90080,80025,70002,part,Brake Pad Set,2,1131.45,2262.9
90081,80025,70477,PART,Brake Pad Set,4,761.4,3045.6
90082,80025,70325,part,Alternator,1,558.75,558.75
90083,80026,,labor,Labor - Brake Job,1,182.87,182.87
90084,80026,,LABOR,Labor - Brake Job,2,53.75,107.5
90085,80026,,Labor,Labor - Oil Change,4,179.69,718.76
90086,80027,70426,Part,Brake Pad Set,4,768.02,3072.08
90087,80027,70489,PART,Spark Plug,2,754.41,1508.82
90088,80027,70430,PART,Brake Pad Set,3,726.76,2180.28
90089,80027,70266,PART,Spark Plug,4,722.43,2889.72
90090,80027,,labor,Labor - Oil Change,1,207.94,207.94
90091,80028,,LABOR,Labor - Brake Job,4,270.02,1080.08
90092,80028,,Labor,Labor - Oil Change,4,72.62,290.48
90093,80029,70261,Part,Tire,1,537.08,537.08
90094,80029,70494,PART,Tire,1,803.21,803.21
90095,80030,70088,Part,Brake Pad Set,4,1466.79,5867.16
90096,80030,70461,Part,Alternator,2,820.27,1640.54
90097,80030,70236,part,Battery,3,817.99,2453.97
90098,80030,,labor,Labor - Oil Change,2,264.99,529.98
90099,80031,70378,Part,Oil Filter,2,39.78,79.56
90100,80031,70202,PART,Battery,2,92.9,185.8
90101,80031,,LABOR,Labor - Oil Change,4,282.5,1130.0
90102,80031,70430,PART,Brake Pad Set,2,726.76,1453.52
90103,80032,70300,PART,Oil Filter,2,697.84,1395.68
90104,80032,,LABOR,Labor - Oil Change,3,149.77,449.31
90105,80032,70305,part,Brake Pad Set,1,461.25,461.25
90106,80033,70130,part,Alternator,1,676.62,676.62
90107,80034,70308,part,Brake Pad Set,4,490.33,1961.32
90108,80035,70290,Part,Brake Pad Set,2,314.54,629.08
90109,80035,70354,PART,Brake Pad Set,3,204.84,614.52
90110,80035,,Labor,Labor - Oil Change,4,293.7,1174.8
90111,80035,70086,PART,Tire,1,747.4,747.4
90112,80035,70015,Part,Alternator,4,837.39,3349.56
90113,80036,70262,part,Tire,1,17.2,17.2
90114,80036,,LABOR,Labor - Brake Job,4,155.03,620.12
90115,80037,70071,part,Headlight Assembly,1,998.37,998.37
90116,80037,70213,Part,Spark Plug,1,1059.48,1059.48
90117,80038,70009,Part,Oil Filter,4,107.6,430.4
90118,80038,70301,PART,Tire,1,160.46,160.46
90119,80038,,LABOR,Labor - Brake Job,2,124.46,248.92
90120,80039,70440,part,Tire,3,450.21,1350.63
90121,80039,70378,part,Oil Filter,1,39.78,39.78
90122,80039,,labor,Diagnostic,2,134.48,268.96
90123,80039,,LABOR,Labor - Oil Change,3,175.19,525.57
90124,80039,70302,Part,Oil Filter,2,934.26,1868.52
90125,80040,70413,Part,Radiator,1,1203.51,1203.51
90126,80041,70158,Part,Tire,3,864.41,2593.23
90127,80042,70149,PART,Battery,1,914.81,914.81
90128,80042,,labor,Labor - Oil Change,4,265.66,1062.64
90129,80043,,LABOR,Diagnostic,4,235.23,940.92
90130,80043,70090,Part,Alternator,4,477.75,1911.0
90131,80043,70204,Part,Headlight Assembly,1,753.59,753.59
90132,80043,70430,PART,Brake Pad Set,3,726.76,2180.28
90133,80044,70393,part,Oil Filter,3,524.86,1574.58
90134,80045,,labor,Labor - Brake Job,4,296.54,1186.16
90135,80045,70295,PART,Brake Pad Set,4,1127.78,4511.12
90136,80046,70172,Part,Battery,4,1171.86,4687.44
90137,80046,70458,PART,Brake Pad Set,3,594.22,1782.66
90138,80046,70138,PART,Radiator,4,515.57,2062.28
90139,80047,70129,Part,Headlight Assembly,3,1048.18,3144.54
90140,80047,70424,PART,Spark Plug,2,520.67,1041.34
90141,80047,,labor,Diagnostic,2,114.24,228.48
90142,80048,70166,part,Battery,3,116.45,349.35
90143,80048,,LABOR,Labor - Oil Change,2,50.08,100.16
90144,80048,,Labor,Diagnostic,2,63.05,126.1
90145,80048,,LABOR,Labor - Brake Job,2,106.78,213.56
90146,80049,70484,part,Spark Plug,1,1109.31,1109.31
90147,80049,70322,PART,Headlight Assembly,1,827.07,827.07
90148,80049,,Labor,Labor - Oil Change,1,252.07,252.07
90149,80049,70172,PART,Battery,2,1171.86,2343.72
90150,80049,,labor,Labor - Inspection,3,121.64,364.92
90151,80050,70265,PART,Alternator,2,917.07,1834.14
90152,80050,70046,PART,Battery,4,1252.46,5009.84
90153,80050,,LABOR,Labor - Oil Change,3,182.86,548.58
90154,80050,70265,PART,Alternator,2,917.07,1834.14
90155,80050,70056,PART,Headlight Assembly,4,1312.89,5251.56
90156,80051,,Labor,Labor - Brake Job,2,65.53,131.06
90157,80051,70371,PART,Headlight Assembly,3,304.75,914.25
90158,80051,70391,Part,Headlight Assembly,3,462.03,1386.09
90159,80051,70060,Part,Oil Filter,4,515.48,2061.92
90160,80051,70469,PART,Headlight Assembly,4,774.31,3097.24
90161,80052,70165,Part,Spark Plug,2,751.58,1503.16
90162,80053,70467,Part,Battery,3,449.68,1349.04
90163,80054,70156,PART,Battery,2,398.32,796.64
90164,80054,70344,part,Brake Pad Set,2,10.5,21.0
90165,80054,70271,Part,Alternator,3,146.0,438.0
90166,80055,70036,part,Radiator,4,261.31,1045.24
90167,80056,,LABOR,Labor - Oil Change,4,217.01,868.04
90168,80056,70118,part,Headlight Assembly,3,697.48,2092.44
90169,80056,70090,Part,Alternator,1,477.75,477.75
90170,80056,70085,part,Alternator,4,318.32,1273.28
90171,80056,,LABOR,Labor - Brake Job,2,205.85,411.7
90172,80057,70463,Part,Alternator,1,891.52,891.52
90173,80058,,LABOR,Diagnostic,1,169.57,169.57
90174,80059,70270,PART,Brake Pad Set,2,1520.48,3040.96
90175,80060,70264,part,Brake Pad Set,1,727.45,727.45
90176,80060,70271,PART,Alternator,3,146.0,438.0
90177,80061,,LABOR,Diagnostic,1,274.39,274.39
90178,80061,70372,Part,Headlight Assembly,3,-511.0,-1533.0
90179,80061,70324,PART,Radiator,3,602.0,1806.0
90180,80061,,labor,Labor - Oil Change,1,77.12,77.12
90181,80061,70368,PART,Brake Pad Set,1,1021.25,1021.25
90182,80062,70101,part,Oil Filter,3,1197.05,3591.15
90183,80063,70149,PART,Battery,4,914.81,3659.24
90184,80063,70454,Part,Headlight Assembly,4,1513.57,6054.28
90185,80063,70457,part,Battery,4,1199.98,4799.92
90186,80063,70221,part,Alternator,4,721.8,2887.2
90187,80063,,labor,Labor - Brake Job,2,255.64,511.28
90188,80064,70310,part,Oil Filter,1,794.7,794.7
90189,80064,70097,PART,Tire,4,530.97,2123.88
90190,80065,,labor,Labor - Inspection,3,114.3,342.9
90191,80065,70479,Part,Alternator,2,504.57,1009.14
90192,80065,70259,Part,Spark Plug,2,1147.26,2294.52
90193,80066,70351,PART,Alternator,1,802.59,802.59
90194,80066,70430,part,Brake Pad Set,4,726.76,2907.04
90195,80066,70131,Part,Headlight Assembly,4,642.41,2569.64
90196,80066,70060,part,Oil Filter,3,515.48,1546.44
90197,80066,70011,Part,Battery,1,662.72,662.72
90198,80067,70271,Part,Alternator,1,146.0,146.0
90199,80067,70482,PART,Headlight Assembly,4,1017.56,4070.24
90200,80067,70490,Part,Battery,4,61.01,244.04
90201,80068,555555555,part,Unknown Part,3,40.63,121.89
90202,80068,,labor,Labor - Oil Change,1,177.77,177.77
90203,80068,,Labor,Diagnostic,1,130.09,130.09
90204,80069,70040,Part,Headlight Assembly,2,692.03,1384.06
90205,80069,70052,part,Oil Filter,1,848.64,848.64
90206,80069,70389,PART,Battery,3,108.02,324.06
90207,80070,70144,Part,Spark Plug,3,944.58,2833.74
90208,80071,70195,PART,Radiator,1,631.84,631.84
90209,80072,,Labor,Labor - Inspection,1,123.06,123.06
90210,80072,,Labor,Labor - Inspection,4,144.05,576.2
90211,80072,,labor,Labor - Inspection,4,275.95,1103.8
90212,80072,70114,part,Tire,3,482.73,1448.19
90213,80073,70242,part,Brake Pad Set,1,984.63,984.63
90214,80073,70094,Part,Alternator,3,1154.2,3462.6
90215,80073,,labor,Labor - Oil Change,2,211.32,422.64
90216,80073,70001,Part,Alternator,1,717.64,717.64
90217,80073,,labor,Labor - Inspection,4,244.61,978.44
90218,80074,70489,part,Spark Plug,2,754.41,1522.36
90219,80075,70341,PART,Headlight Assembly,3,570.1,1710.3
90220,80075,70343,Part,Oil Filter,1,1373.22,1373.22
90221,80075,,Labor,Labor - Brake Job,4,64.48,257.92
90222,80075,,LABOR,Labor - Inspection,3,64.16,192.48
90223,80075,70414,Part,Oil Filter,3,406.9,1220.7
90224,80076,,labor,Labor - Inspection,4,185.59,742.36
90225,80076,,Labor,Labor - Brake Job,1,277.96,277.96
90226,80076,70150,part,Alternator,3,822.11,2466.33
90227,80077,70355,Part,Tire,1,472.4,472.4
90228,80078,70029,PART,Headlight Assembly,1,143.26,143.26
90229,80078,70003,part,Brake Pad Set,1,521.05,521.05
90230,80078,70021,part,Alternator,1,1450.61,1450.61
90231,80078,,Labor,Labor - Inspection,3,240.76,722.28
90232,80078,,Labor,Labor - Oil Change,2,195.49,390.98
90233,80079,,LABOR,Labor - Brake Job,1,157.95,154.99
90234,80079,70284,part,Oil Filter,3,754.04,2262.12
90235,80080,70395,part,Spark Plug,1,965.13,965.13
90236,80080,,labor,Labor - Brake Job,3,262.97,788.91
90237,80080,,Labor,Labor - Brake Job,1,269.79,269.79
90238,80081,70378,part,Oil Filter,3,39.78,119.34
90239,80081,70018,PART,Spark Plug,1,283.82,283.82
90240,80081,70390,part,Alternator,2,840.23,1680.46
90241,80082,,Labor,Diagnostic,3,120.73,362.19
90242,80082,70362,Part,Brake Pad Set,1,702.75,702.75
90243,80082,70433,part,Spark Plug,3,781.05,2343.15
90244,80082,,Labor,Diagnostic,2,139.64,279.28
90245,80083,70159,part,Oil Filter,2,474.41,948.82
90246,80083,70010,Part,Tire,3,87.81,263.43
90247,80083,,LABOR,Labor - Inspection,4,261.94,1047.76
90248,80083,70323,PART,Radiator,2,814.82,1629.64
90249,80084,70463,part,Alternator,2,891.52,1783.04
90250,80085,70165,PART,Spark Plug,3,751.58,2254.74
90251,80085,70264,PART,Brake Pad Set,4,727.45,2909.8
90252,80085,70438,part,Spark Plug,4,960.49,3841.96
90253,80086,70136,PART,Battery,2,60.61,121.22
90254,80087,70383,Part,Battery,4,477.49,1909.96
90255,80087,,LABOR,Labor - Brake Job,2,180.6,361.2
90256,80087,70427,PART,Radiator,4,633.36,2533.44
90257,80087,,LABOR,Diagnostic,4,263.77,1055.08
90258,80087,70102,Part,Alternator,4,396.27,1585.08
90259,80088,70261,part,Tire,4,537.08,2148.32
90260,80088,70324,Part,Radiator,4,602.0,2408.0
90261,80088,70340,Part,Headlight Assembly,2,488.64,977.28
90262,80089,,labor,Labor - Oil Change,1,241.55,241.55
90263,80089,70115,PART,Radiator,4,287.32,1149.28
90264,80089,70195,part,Radiator,1,631.84,631.84
90265,80089,70279,Part,Spark Plug,1,768.23,768.23
90266,80089,70043,PART,Alternator,4,216.7,866.8
90267,80090,,Labor,Labor - Brake Job,3,219.94,651.36
90268,80090,,LABOR,Labor - Brake Job,4,288.84,1155.36
90269,80090,,labor,Labor - Inspection,3,198.02,594.06
90270,80090,70439,Part,Battery,4,1069.48,4277.92
90271,80091,,Labor,Labor - Oil Change,1,237.12,237.12
90272,80092,70309,PART,Oil Filter,3,562.36,1687.08
90273,80092,,LABOR,Diagnostic,1,177.49,177.49
90274,80092,,Labor,Diagnostic,3,130.27,390.81
90275,80093,,LABOR,Labor - Brake Job,1,132.24,132.24
90276,80094,70195,Part,Radiator,1,631.84,631.84
90277,80094,,Labor,Labor - Brake Job,3,74.68,224.04
90278,80095,70396,Part,Brake Pad Set,2,836.47,1672.94
90279,80095,70447,part,Brake Pad Set,1,971.34,971.34
90280,80095,70421,Part,Radiator,4,1375.51,5502.04
90281,80096,70156,Part,Battery,4,398.32,1593.28
90282,80096,70162,PART,Tire,3,43.94,131.82
90283,80096,70393,PART,Oil Filter,4,524.86,2099.44
90284,80096,70455,part,Headlight Assembly,4,38.23,152.92
90285,80096,70404,Part,Radiator,4,47.57,190.28
90286,80097,,Labor,Labor - Brake Job,3,110.17,330.51
90287,80097,70484,PART,Spark Plug,1,1109.31,1109.31
90288,80098,70211,part,Battery,2,831.55,1663.1
90289,80098,,labor,Diagnostic,3,222.33,666.99
90290,80098,,LABOR,Labor - Oil Change,3,62.95,188.85
90291,80099,,LABOR,Labor - Oil Change,3,199.35,598.05
90292,80099,70205,Part,Brake Pad Set,3,850.43,2551.29
90293,80099,70456,Part,Battery,4,471.79,1887.16
90294,80100,,Labor,Labor - Oil Change,1,125.21,125.21
90295,80100,70014,part,Brake Pad Set,2,530.19,1060.38
90296,80100,70499,Part,Battery,4,932.26,3729.04
90297,80101,,Labor,Labor - Oil Change,3,245.55,736.65
90298,80101,,Labor,Diagnostic,2,174.64,349.28
90299,80101,70238,PART,Tire,3,1145.02,3435.06
90300,80101,70202,part,Battery,2,92.9,185.8
90301,80101,70455,PART,Headlight Assembly,1,38.23,38.23
90302,80102,,LABOR,Diagnostic,4,246.54,986.16
90303,80102,,Labor,Labor - Brake Job,1,237.08,237.08
90304,80102,70305,part,Brake Pad Set,2,461.25,922.5
90305,80102,70347,Part,Radiator,2,950.77,1901.54
90306,80102,,labor,Labor - Oil Change,2,142.24,284.48
90307,80103,,labor,Labor - Oil Change,4,91.42,365.68
90308,80103,,LABOR,Labor - Inspection,4,143.08,572.32
90309,80103,,LABOR,Diagnostic,-2,195.34,-390.68
90310,80103,,LABOR,Labor - Oil Change,1,166.44,166.44
90311,80103,,Labor,Diagnostic,4,170.29,681.16
90312,80104,70252,PART,Brake Pad Set,1,783.43,783.43
90313,80104,70307,part,Oil Filter,1,684.04,684.04
90314,80104,70033,Part,Battery,4,58.87,235.48
90315,80105,70473,Part,Brake Pad Set,4,499.08,1996.32
90316,80106,,Labor,Diagnostic,1,114.55,114.55
90317,80106,,labor,Labor - Oil Change,2,133.63,267.26
90318,80106,70224,PART,Brake Pad Set,2,766.26,1532.52
90319,80107,70189,Part,Battery,3,287.06,861.18
90320,80107,70296,part,Headlight Assembly,2,475.4,950.8
90321,80107,,labor,Labor - Oil Change,1,167.08,167.08
90322,80107,70131,part,Headlight Assembly,3,642.41,1927.23
90323,80108,70193,PART,Tire,1,1459.33,1459.33
90324,80109,70082,part,Spark Plug,3,765.39,2296.17
90325,80109,70204,part,Headlight Assembly,4,753.59,3014.36
90326,80109,70103,part,Headlight Assembly,4,887.19,3548.76
90327,80109,,labor,Labor - Inspection,1,163.05,163.05
90328,80109,70006,part,Brake Pad Set,1,825.9,825.9
90329,80110,,labor,Labor - Oil Change,3,78.65,235.95
90330,80110,70232,part,Brake Pad Set,3,985.86,2957.58
90331,80110,70139,part,Battery,2,922.25,1844.5
90332,80111,,labor,Labor - Brake Job,4,290.29,1170.9
90333,80111,,LABOR,Diagnostic,4,175.07,700.28
90334,80111,70346,part,Spark Plug,4,1011.96,4047.84
90335,80111,70401,part,Oil Filter,3,816.3,2448.9
90336,80112,70313,part,Tire,3,968.24,2904.72
90337,80113,70235,part,Battery,4,61.35,245.4
90338,80113,,Labor,Diagnostic,1,254.58,242.84
90339,80113,,labor,Diagnostic,1,68.65,68.65
90340,80113,,labor,Labor - Inspection,3,178.68,536.04
90341,80113,70038,part,Brake Pad Set,3,1131.53,3394.59
90342,80114,70409,Part,Oil Filter,2,564.87,1129.74
90343,80115,70126,PART,Spark Plug,1,906.67,906.67
90344,80115,70101,part,Oil Filter,1,1197.05,1197.05
90345,80116,,labor,Labor - Inspection,4,261.72,1046.88
90346,80117,,labor,Labor - Brake Job,4,140.59,562.36
90347,80117,,Labor,Diagnostic,2,252.49,504.98
90348,80117,,LABOR,Labor - Oil Change,4,193.99,775.96
90349,80117,70256,Part,Brake Pad Set,4,1022.3,4089.2
90350,80118,70259,PART,Spark Plug,3,1147.26,3441.78
90351,80118,70177,Part,Oil Filter,1,362.01,362.01
90352,80118,,LABOR,Labor - Brake Job,1,92.67,92.67
90353,80119,,labor,Labor - Brake Job,2,276.8,553.6
90354,80119,70260,PART,Spark Plug,3,723.39,2170.17
90355,80119,,LABOR,Diagnostic,3,57.32,171.96
90356,80120,,labor,Labor - Inspection,1,167.17,167.17
90357,80120,,Labor,Diagnostic,3,227.44,682.32
90358,80120,70378,PART,Oil Filter,3,39.78,119.34
90359,80120,,labor,Labor - Brake Job,3,159.68,477.31
90360,80121,70422,PART,Headlight Assembly,4,401.0,1604.0
90361,80122,70296,PART,Headlight Assembly,2,475.4,950.8
90362,80122,70175,Part,Spark Plug,3,364.08,1092.24
90363,80122,,LABOR,Labor - Brake Job,2,87.63,175.26
90364,80122,,LABOR,Labor - Brake Job,4,246.59,986.36
90365,80122,,LABOR,Diagnostic,2,277.5,555.0
90366,80123,,LABOR,Labor - Oil Change,3,217.78,653.34
90367,80123,,labor,Diagnostic,1,241.37,241.37
90368,80123,70087,part,Alternator,2,549.87,1099.74
90369,80123,70096,part,Oil Filter,3,928.14,2784.42
90370,80123,70260,part,Spark Plug,1,723.39,723.39
90371,80124,,Labor,Labor - Oil Change,1,288.69,288.69
90372,80124,,labor,Labor - Inspection,1,51.64,51.64
90373,80125,,Labor,Labor - Inspection,3,75.39,215.16
90374,80125,70219,part,Radiator,1,120.49,120.49
90375,80125,70063,part,Oil Filter,1,43.35,43.35
90376,80125,70089,part,Spark Plug,-3,1344.17,-4032.51
90377,80126,70146,Part,Oil Filter,3,725.13,2175.39
90378,80126,70339,PART,Radiator,2,718.41,1436.82
90379,80127,70440,PART,Tire,3,-450.21,-1350.63
90380,80127,,Labor,Labor - Inspection,2,242.7,485.4
90381,80128,,LABOR,Labor - Inspection,4,233.17,932.68
90382,80128,,LABOR,Labor - Oil Change,4,270.76,1083.04
90383,80128,,labor,Diagnostic,4,54.55,218.2
90384,80128,,Labor,Labor - Oil Change,1,257.99,257.99
90385,80129,70241,PART,Headlight Assembly,2,1438.71,2877.42
90386,80129,70236,part,Battery,1,817.99,817.99
90387,80129,70158,Part,Tire,2,864.41,1728.82
90388,80129,,LABOR,Labor - Oil Change,3,198.98,596.94
90389,80129,,Labor,Labor - Oil Change,2,78.06,156.12
90390,80130,70145,Part,Battery,2,114.59,229.18
90391,80130,70090,Part,Alternator,4,477.75,1911.0
90392,80130,70467,part,Battery,1,449.68,449.68
90393,80130,70049,Part,Spark Plug,4,1304.23,5216.92
90394,80130,,labor,Diagnostic,1,103.82,103.82
90395,80131,,Labor,Labor - Brake Job,4,289.43,1157.72
90396,80131,70164,Part,Radiator,4,811.58,3246.32
90397,80131,70164,part,Radiator,1,811.58,811.58
90398,80131,70225,Part,Oil Filter,3,604.53,1813.59
90399,80132,70485,PART,Alternator,2,1119.34,2238.68
90400,80132,70012,part,Radiator,3,188.92,566.76
90401,80132,,LABOR,Labor - Brake Job,4,131.55,526.2
90402,80132,70198,PART,Headlight Assembly,4,1079.64,4318.56
90403,80132,70025,part,Brake Pad Set,2,1081.29,2162.58
90404,80133,70478,PART,Radiator,1,963.67,963.67
90405,80133,,labor,Labor - Inspection,4,125.26,501.04
90406,80133,70102,part,Alternator,2,396.27,792.54
90407,80133,70491,PART,Oil Filter,1,421.87,421.87
90408,80134,70402,PART,Alternator,4,356.1,1424.4
90409,80135,70395,Part,Spark Plug,3,965.13,2895.39
90410,80136,70423,Part,Battery,4,706.11,2824.44
90411,80137,,labor,Diagnostic,4,204.1,816.4
90412,80137,,LABOR,Labor - Brake Job,1,169.28,169.28
90413,80137,,Labor,Diagnostic,-2,178.36,-337.88
90414,80138,,labor,Labor - Brake Job,3,146.25,438.75
90415,80138,,LABOR,Labor - Brake Job,3,195.31,585.93
90416,80138,70156,Part,Battery,2,398.32,796.64
90417,80139,,LABOR,Labor - Oil Change,3,113.36,340.08
90418,80139,,labor,Diagnostic,1,51.72,51.72
90419,80139,70042,PART,Battery,2,909.87,1819.74
90420,80139,70309,PART,Oil Filter,2,562.36,1124.72
90421,80139,,Labor,Labor - Oil Change,4,192.48,769.92
90422,80140,,Labor,Labor - Inspection,2,253.06,506.12
90423,80141,70494,PART,Tire,4,803.21,3212.84
90424,80141,,LABOR,Labor - Oil Change,1,80.74,80.74
90425,80142,,Labor,Labor - Oil Change,1,225.12,225.12
90426,80142,70392,PART,Spark Plug,2,788.91,1577.82
90427,80142,,Labor,Labor - Inspection,-2,283.57,-567.14
90428,80142,70295,Part,Brake Pad Set,3,1127.78,3383.34
90429,80143,70077,part,Spark Plug,4,994.06,3976.24
90430,80144,70040,Part,Headlight Assembly,3,692.03,2076.09
90431,80144,,labor,Labor - Inspection,4,269.17,1066.71
90432,80145,70500,part,Oil Filter,4,598.57,2394.28
90433,80146,,labor,Labor - Inspection,1,54.88,54.88
90434,80146,70298,PART,Alternator,1,403.88,403.88
90435,80147,70284,Part,Oil Filter,2,754.04,1508.08
90436,80147,70118,Part,Headlight Assembly,2,697.48,1394.96
90437,80147,70451,Part,Alternator,4,900.94,3603.76
90438,80147,,labor,Labor - Inspection,4,172.08,688.32
90439,80147,,LABOR,Labor - Oil Change,3,97.83,293.49
90440,80148,,LABOR,Labor - Brake Job,4,260.43,1041.72
90441,80148,,LABOR,Diagnostic,3,291.85,875.55
90442,80149,70213,Part,Spark Plug,1,1059.48,1059.48
90443,80149,,Labor,Labor - Oil Change,4,134.67,538.68
90444,80149,,Labor,Labor - Oil Change,2,214.28,428.56
90445,80149,,LABOR,Labor - Brake Job,3,144.84,434.52
90446,80150,70021,PART,Alternator,4,1450.61,5802.44
90447,80150,70410,Part,Battery,2,805.5,1611.0
90448,80151,70440,part,Tire,4,450.21,1800.84
90449,80152,70204,Part,Headlight Assembly,1,753.59,753.59
90450,80152,70120,Part,Radiator,2,1355.51,2711.02
90451,80152,70374,Part,Alternator,1,767.81,767.81
90452,80153,70013,Part,Oil Filter,2,1194.31,2388.62
90453,80153,,Labor,Diagnostic,1,149.64,149.64
90454,80153,70321,Part,Radiator,2,816.01,1632.02
90455,80154,70410,Part,Battery,2,805.5,1611.0
90456,80155,70083,PART,Spark Plug,4,453.74,1814.96
90457,80155,,labor,Labor - Oil Change,1,100.98,100.98
90458,80155,70475,Part,Alternator,4,306.98,1227.92
90459,80155,70282,PART,Battery,4,-419.58,-1678.32
90460,80155,,LABOR,Diagnostic,2,260.56,521.12
90461,80156,70405,part,Battery,3,307.9,923.7
90462,80156,70024,part,Alternator,2,103.54,207.08
90463,80156,70334,Part,Oil Filter,2,24.07,48.14
90464,80156,70334,PART,Oil Filter,2,24.07,48.14
90465,80157,,labor,Labor - Oil Change,3,50.38,151.14
90466,80158,70417,PART,Radiator,4,1090.4,4361.6
90467,80158,,Labor,Labor - Oil Change,2,213.59,427.18
90468,80158,,LABOR,Labor - Brake Job,2,107.67,215.34
90469,80159,,labor,Labor - Oil Change,4,200.22,800.88
90470,80159,,Labor,Labor - Inspection,3,85.09,255.27
90471,80159,70067,Part,Oil Filter,3,623.54,1870.62
90472,80159,70271,Part,Alternator,2,146.0,292.0
90473,80160,,LABOR,Diagnostic,1,62.32,81.24
90474,80160,70078,Part,Tire,1,478.82,478.82
