service_order_id,vehicle_id,customer_id,technician_id,dealership_id,started_at,completed_at,odometer_reading,status,total_amount
80111,53095,11020,3025,1006,2024-09-29 04:17:25,2024-09-30 18:39:29.275349,82035,completed,8367.92
80112,52538,14744,3013,1002,2026-05-14 15:06:08,2026-05-17 00:17:11.664935,108522,cancelled,2904.72
80113,50135,12623,3009,1005,2024-08-16 11:36:22,2024-08-16 16:50:26.837896,65751,completed,4487.52
80114,52928,12312,3015,1004,2024-08-08 07:54:55,2024-08-10 15:50:43.840468,107983,open,1129.74
80115,51560,13333,3013,1006,2025-07-15 04:17:55,2025-07-15 19:55:20.300516,100624,completed,2103.72
80116,50821,12592,3015,1005,2026-06-08 16:48:23,2026-06-10 12:16:52.781726,18281,completed,1046.88
80117,53029,10575,3023,1005,2024-10-03 14:37:25,2024-10-04 23:14:45.583103,14661,completed,5932.5
80118,50443,12840,3020,1002,2025-12-23 20:31:44,2025-12-25 03:13:29.462479,52556,completed,3896.46
80119,53141,12559,3018,1001,2026-06-12 00:01:55,2026-06-13 21:14:38.016483,74927,completed,2895.73
80120,53179,10983,3018,1004,2026-04-05 00:43:33,2026-04-07 05:58:15.801528,84415,completed,1446.14
80121,52718,14439,3009,1002,2026-01-16 20:46:58,2026-01-18 16:24:12.064355,15124,completed,1604.0
80122,50520,10339,3010,1004,2024-11-16 18:31:27,2024-11-17 22:05:14.221035,12113,completed,3759.66
80123,51680,11615,3018,1001,2025-01-31 22:50:22,2025-02-03 14:35:40.885436,5827,open,5502.26
80124,52895,15187,3002,1004,2025-11-21 17:59:45,2025-11-22 06:43:35.271816,90784,cancelled,340.33
80125,51030,14124,3009,1005,2024-10-26 02:39:20,2024-10-27 23:01:08.310848,94323,open,-3653.51
80126,53701,10952,3012,1005,2024-10-07 07:24:53,2024-10-09 01:46:24.163693,34543,completed,3612.21
80127,53518,10678,3018,1003,2025-11-29 01:42:48,2025-11-30 10:01:45.126938,13628,in_progress,-865.23
80128,51503,13225,666666666,1005,2024-07-18 11:19:25,2024-07-20 22:00:13.475956,39939,cancelled,2491.91
80129,52161,12233,3003,1003,2024-08-31 08:48:36,2024-09-02 20:26:42.636783,69969,cancelled,6177.29
80130,50804,11192,3006,1003,2026-04-07 10:09:20,2026-04-08 14:06:26.260378,48243,completed,7910.6
80131,51077,11563,3004,1004,2025-03-16 01:32:37,2025-03-16 02:03:25.797002,64006,completed,7029.21
80132,50420,14715,3012,1006,2024-08-09 15:14:01,2024-08-09 16:46:21.374661,44554,cancelled,9812.78
80133,51681,10830,3002,1003,2026-02-20 23:50:45,2026-02-23 14:59:03.221548,48266,in_progress,2679.12
80134,53740,14509,3018,1005,2025-02-14 06:29:58,2025-02-16 13:06:22.798177,102832,completed,1424.4
80135,51314,12850,3005,1005,2025-12-31 10:55:39,2025-12-31 21:07:59.910943,103960,completed,2895.39
80136,52192,12552,3004,1004,2025-02-25 09:55:21,2025-02-27 11:32:22.563126,12670,in_progress,2824.44
80137,,10326,3009,1005,2025-12-28 23:11:19,2025-12-30 10:52:26.155997,17880,completed,647.8
80138,53818,12261,3015,1005,2025-07-08 22:01:35,2025-07-11 03:56:01.057273,68077,completed,1821.32
80139,52210,11670,3018,1004,2025-09-27 18:09:26,2025-09-29 07:03:38.280483,110238,completed,4106.18
80140,52092,14472,3019,1001,2025-05-30 12:09:03,2025-06-02 08:11:46.832738,75267,open,506.12
80141,50227,14333,3018,1004,2025-11-24 12:24:36,2025-11-24 09:21:14.458870,89584,completed,3293.58
80142,51944,10157,3017,1004,2025-06-10 17:42:16,2025-06-13 07:30:33.002299,64171,completed,4619.14
80143,,15088,3010,1002,2025-04-11 06:56:34,2025-04-13 15:40:12.186739,59227,completed,3976.24
80144,52901,10909,3014,1005,2026-01-09 03:12:04,2026-01-11 01:17:00.913903,60354,cancelled,3142.8
80145,52364,11494,3006,1003,2025-06-27 15:37:40,2025-06-30 05:36:47.932854,3253,completed,2394.28
80146,50700,11481,3016,1006,2024-08-17 20:10:05,2024-08-20 01:49:46.364096,104814,completed,458.76
80147,50160,10733,3025,1005,2025-01-14 16:34:35,2025-01-16 19:17:21.495535,6326,cancelled,7488.61
80148,50503,10249,3017,1004,2025-03-08 05:46:12,2025-03-09 17:07:28.183356,76585,completed,1917.27
80149,52291,14117,3004,1002,2025-09-15 18:02:06,2025-09-18 11:58:53.891394,91986,cancelled,2461.24
80150,53231,14556,3009,1005,2026-02-25 05:01:26,2026-02-26 12:04:33.570776,111316,in_progress,7413.44
80151,51252,12876,3010,1001,2026-01-28 05:35:07,2026-01-30 07:42:01.837400,29200,completed,1800.84
80152,50412,15148,3001,1006,2025-09-15 11:11:28,2025-09-16 16:02:50.704330,53341,completed,4232.42
80153,53388,13535,3004,1001,2026-03-30 18:04:05,2026-04-01 20:34:56.454837,85790,completed,4170.28
80154,53373,14309,3019,1003,2026-04-28 04:14:29,2026-04-28 12:03:02.318067,47312,completed,1611.0
80155,53567,14565,3021,1004,2025-10-22 19:00:46,2025-10-23 10:12:11.961066,31742,completed,1986.66
80156,50442,11560,3021,1006,2025-03-10 17:07:42,2025-03-13 10:32:05.785316,20490,completed,1227.06
80157,51864,14756,3014,1004,2026-06-01 23:46:31,2026-06-03 23:36:53.593999,9288,cancelled,151.14
80158,50105,10678,3022,1006,2024-10-17 04:47:51,2024-10-19 16:51:59.407735,17224,in_progress,5004.12
80159,51852,11562,3016,1006,2026-02-13 08:52:55,2026-02-13 06:07:18.217878,117748,completed,3218.77
80160,51126,10162,3010,1002,2024-11-21 23:38:48,2024-11-22 11:57:42.541474,38639,completed,6227.4
80161,53788,10771,3017,1002,2026-02-16 17:25:37,2026-02-18 05:18:55.867822,81357,in_progress,279.98
80162,50539,13433,3007,1002,2026-06-26 21:04:09,2026-06-29 17:35:18.126838,76811,completed,1444.04
80163,52299,15019,3016,1002,2025-04-02 22:24:31,2025-04-05 17:16:26.642181,6636,completed,7250.88
80164,51717,14384,666666666,1005,2024-09-05 13:51:11,2024-09-06 06:54:32.242230,84704,cancelled,1767.5
80165,50577,13574,3004,1005,2024-11-04 02:49:27,2024-11-05 08:08:11.051958,85951,in_progress,983.0
80166,52756,12524,3025,1004,2025-09-14 11:14:04,2025-09-15 11:27:33.603221,90312,completed,9382.01
80167,,15086,3005,1005,2025-03-11 21:51:30,2025-03-14 02:42:49.461071,30853,completed,1232.29
80168,53397,12223,3004,1003,2024-08-01 10:33:15,2024-08-02 10:37:42.394037,24044,cancelled,5238.87
80169,52837,13331,3016,1005,2025-02-24 04:06:38,2025-02-26 11:28:15.398300,63627,completed,3486.58
80170,50417,13580,3004,1003,2026-04-05 20:33:12,2026-04-05 21:18:06.404008,102005,cancelled,2701.45
80171,,14269,3025,1002,2026-06-29 19:57:13,2026-06-30 01:49:40.548460,42747,completed,5489.0
80172,51750,11370,3012,1006,2026-01-18 16:43:04,2026-01-19 02:17:46.999904,14410,open,1829.07
80173,51695,12512,3020,1004,2025-06-04 01:42:45,2025-06-05 13:45:01.782261,82548,completed,1209.93
80174,,10314,3011,1005,2026-06-25 14:38:06,2026-06-27 18:12:43.380620,30615,completed,2276.5
80175,53242,13272,3023,1001,2025-04-14 20:46:36,2025-04-17 17:17:54.143714,113235,in_progress,1285.69
80176,51262,10315,3010,1004,2024-07-11 12:32:32,2024-07-11 18:04:37.488842,117265,in_progress,-288.37
80177,52423,13517,3019,1004,2026-06-26 06:50:04,2026-06-28 23:07:00.572154,76955,completed,-504.44
80178,51776,11138,3024,1002,2026-07-03 20:34:09,2026-07-05 07:56:51.961239,12903,in_progress,2839.63
80179,51411,12692,3013,1004,2024-10-14 12:35:02,2024-10-17 07:43:48.828548,37594,completed,253.83
80180,,10114,3013,1005,2026-01-24 05:34:58,2026-01-27 03:40:29.419294,41367,completed,3787.94
80181,51297,10237,3013,1004,2025-11-19 07:54:02,2025-11-22 07:25:16.865188,83991,completed,3790.19
80182,53980,15197,3019,1002,2024-11-04 19:22:28,2024-11-07 16:38:00.789366,37642,open,220.48
80183,52213,14705,666666666,1004,2026-05-26 11:51:07,,116508,completed,6789.39
80184,,14722,3024,1003,2024-08-06 14:46:12,2024-08-07 01:41:02.315483,34175,completed,3818.6
80185,,10360,3020,1004,2025-09-15 17:29:31,2025-09-16 11:11:39.754086,63680,completed,3402.82
80186,51346,14585,3015,1002,2026-05-26 19:40:58,2026-05-29 03:47:05.960512,23159,completed,1807.54
80187,51361,12157,666666666,1006,2025-06-17 12:13:23,2025-06-18 22:26:44.909029,10415,completed,4054.83
80188,52227,10460,666666666,1002,2026-04-28 15:44:26,2026-04-28 21:00:23.520135,17491,completed,1370.99
80189,52902,15198,3013,1003,2025-05-03 12:01:10,2025-05-05 15:41:28.229839,73695,completed,3224.4
80190,51833,10029,3004,1003,2025-02-24 05:51:18,2025-02-25 20:05:34.255964,117018,in_progress,2986.19
80191,51553,13589,3015,1001,2025-12-02 00:34:18,2025-12-04 17:23:05.911651,27979,open,4590.68
80192,52848,11599,3006,1003,2026-03-31 12:52:15,2026-03-31 15:39:05.130039,51436,completed,-350.92
80193,53648,12221,3009,1005,2026-01-31 06:20:14,2026-01-31 09:30:58.789918,43102,completed,3747.75
80194,52101,11340,3009,1002,2026-04-24 16:43:24,2026-04-25 01:37:31.857104,18502,cancelled,11921.84
80195,51885,11221,3014,1006,2024-12-04 22:45:46,2024-12-07 07:40:02.258027,30176,completed,5566.1
80196,50989,10702,3005,1003,2024-08-26 02:29:06,2024-08-28 19:33:56.923770,112679,cancelled,2003.78
80197,,14295,3008,1001,2026-03-05 07:25:11,2026-03-06 22:54:41.954112,40851,completed,4666.65
80198,,10332,3009,1002,2024-12-29 07:52:41,2024-12-29 13:06:01.512604,62203,completed,1454.46
80199,51498,11001,3003,1005,2024-07-09 04:43:40,2024-07-12 00:13:50.586867,55887,completed,238.98
80200,51233,13589,3002,1001,2026-01-16 02:18:16,2026-01-18 02:08:18.517184,44715,completed,4983.77
80201,52429,11962,3022,1004,2025-06-08 21:25:52,2025-06-10 04:03:36.738843,83597,completed,4764.57
80202,50763,12031,3006,1006,2024-08-27 03:52:13,2024-08-27 18:58:04.044427,117547,open,2914.02
80203,53663,11522,3008,1003,2024-07-28 03:43:18,2024-07-28 06:49:36.675858,41429,cancelled,1445.96
80204,,12413,3024,1005,2025-07-17 00:53:48,2025-07-18 07:03:58.704246,17602,in_progress,1064.39
80205,,12698,3013,1002,2025-03-30 07:59:34,2025-03-30 13:47:42.577815,22326,in_progress,2061.42
80206,52266,10714,3003,1005,2024-12-26 20:42:23,2024-12-27 16:13:42.265302,61439,completed,543.36
80207,50572,11687,3020,1002,2026-04-24 12:17:36,2026-04-25 23:03:43.363335,102386,completed,3231.22
80208,50715,11127,3018,1002,2026-01-29 08:27:58,2026-01-31 11:14:14.662454,75017,in_progress,5543.09
80209,52905,15097,3021,1005,2026-04-09 23:32:35,2026-04-12 14:39:37.717837,14824,in_progress,7985.64
80210,50358,13300,3025,1003,2025-05-03 05:44:20,2025-05-03 11:53:05.899769,112910,in_progress,6954.27
80211,51849,13318,3008,1006,2026-01-22 08:09:52,2026-01-22 15:43:55.927728,61055,completed,5017.7
80212,,10304,3004,1004,2025-01-08 13:46:20,2025-01-09 01:36:15.603860,58302,completed,3502.17
80213,,14394,3018,1001,2026-04-06 09:53:42,2026-04-08 21:09:11.574206,5286,cancelled,3279.46
80214,,10879,3008,1004,2026-04-10 23:26:47,2026-04-12 05:56:58.570645,72593,in_progress,1778.45
80215,50088,13160,3018,1004,2026-06-27 01:56:22,2026-06-29 02:55:56.409140,17455,completed,10499.34
80216,51848,13779,3022,1006,2026-06-12 20:50:10,2026-06-14 23:53:22.521802,117019,open,2939.46
80217,,10683,3011,1004,2026-03-06 15:43:40,2026-03-07 08:04:33.975792,79519,open,3319.11
80218,51475,11727,3012,1001,2025-03-29 23:39:52,2025-03-31 22:06:00.128853,33152,cancelled,10494.36
80219,53962,14074,3025,1006,2024-12-26 21:05:52,2024-12-28 23:00:12.423371,87538,completed,2426.66
80220,51652,12418,3005,1004,2026-04-26 12:02:45,2026-04-27 21:35:06.314007,39450,completed,6408.03
80221,50646,15142,3012,1001,2024-09-16 16:51:50,2024-09-17 21:21:25.052048,86447,completed,2580.3
80222,53691,10616,3006,1005,2025-10-13 06:16:50,2025-10-14 09:54:16.142162,101737,completed,2066.02
80223,50807,12465,3019,1004,2024-08-16 12:42:43,2024-08-18 22:31:26.013539,71865,cancelled,3419.02
80224,52465,12930,3022,1003,2026-06-16 03:12:55,2026-06-16 21:06:42.327374,17275,cancelled,1053.61
80225,53827,13791,3016,1001,2025-10-23 06:05:03,2025-10-24 22:23:54.117413,35531,completed,8009.39
80226,51280,12688,3009,1001,2025-03-08 19:50:56,2025-03-10 11:20:18.501691,61533,cancelled,1496.38
80227,53733,10607,3009,1006,2025-05-02 03:04:34,2025-05-04 17:21:54.826927,98215,open,6828.29
80228,51517,13721,3008,1003,2025-03-15 23:24:44,2025-03-16 20:04:30.362923,104597,in_progress,1345.15
80229,52963,12253,3009,1005,2026-02-19 15:28:15,2026-02-22 04:28:25.305798,43375,cancelled,3881.32
80230,,13813,3006,1006,2025-12-25 18:24:45,2025-12-26 06:00:10.548128,15789,cancelled,954.21
80231,50050,14567,3014,1003,2025-01-13 13:02:47,2025-01-16 03:50:24.404311,41642,open,3723.99
80232,52476,12686,3014,1005,2026-04-03 16:11:27,2026-04-04 19:17:05.470540,45643,completed,5492.88
80233,50557,13098,3004,1006,2025-02-12 22:59:44,2025-02-13 08:27:50.118010,33619,completed,9269.02
80234,50497,14221,3023,1001,2024-10-24 10:18:51,2024-10-24 11:15:44.397261,26553,cancelled,651.63
80235,52539,13604,3017,1006,2025-09-30 20:30:58,2025-10-02 14:36:25.464072,48552,open,2526.95
80236,51000,13893,3008,1004,2025-08-18 02:02:42,2025-08-18 22:59:15.737774,52585,open,3854.68
80237,52759,11611,3014,1004,2025-07-30 00:44:24,2025-07-31 21:47:52.010784,54985,completed,1717.46
80238,51664,14312,3021,1003,2026-03-15 07:09:18,2026-03-17 23:58:15.302924,17519,completed,814.18
80239,52000,10569,3018,1004,2025-04-06 21:48:57,2025-04-08 09:34:09.009230,34192,in_progress,8981.12
80240,53726,12201,3006,1001,2026-06-10 04:27:47,2026-06-10 11:23:36.886091,80967,cancelled,-1432.56
80241,,13652,3010,1001,2026-02-03 16:05:38,2026-02-04 16:37:27.611096,46535,open,15000.97
80242,52215,10621,3008,1003,2026-07-03 16:25:52,2026-07-05 15:49:28.905046,36262,completed,7152.51
80243,51231,12577,3023,1006,2025-06-02 14:12:26,2025-06-02 16:47:48.302578,77604,completed,2236.32
80244,52334,14171,3010,1006,2025-01-18 23:25:42,2025-01-19 22:16:31.165390,112876,cancelled,3699.68
80245,52775,14748,3017,1001,2026-01-27 20:40:12,2026-01-28 02:22:07.115380,98493,completed,1938.87
80246,50941,11216,3019,1002,2025-11-30 07:49:10,2025-12-01 12:11:16.450762,119608,completed,3137.92
80247,,12819,3003,1006,2024-10-12 11:06:01,2024-10-13 06:09:55.783273,33572,completed,4576.42
80248,,11114,3006,1003,2025-03-05 10:11:26,2025-03-07 09:47:49.773527,54828,cancelled,1910.33
80249,52602,10263,3005,1001,2026-03-16 22:41:36,2026-03-17 06:52:57.995229,119031,completed,1268.24
80250,54027,12338,3017,1005,2025-07-17 13:53:17,2025-07-19 07:48:43.331418,23848,completed,-1836.0
80251,53085,12438,3001,1005,2025-04-27 07:23:36,2025-04-29 12:37:52.696064,55717,open,6238.37
80252,53428,14712,3015,1002,2024-12-16 16:32:25,2024-12-19 04:02:59.509739,106535,cancelled,7366.73
