vehicle_id,vin,make,model,model_year,trim,color,mileage,condition,acquisition_date,list_price,cost,status,title_status,dealership_id
50020,NCRE1ET27C613TUUE,Chevrolet,Traverse,2017,Limited,Silver,"23,398 mi",used,2025-04-28,29730.58,22655.89,sold,salvage,1001
50021,C8JY9WMRBJL7M80LH,Toyota,Camry,2026,XLE,Green,60211,certified,2024-11-16,38713.2,32749.36,sold,clean,1002
50022,6505J656H9U3BZNW2,BMW,5 Series,2021,Sport,Silver,50606,new,2026-03-03,50432.17,40015.41,pending,rebuilt,1001
50023,F87N1BXSAEFABC77S,Hyundai,Tucson,2017,Limited,Green,"64,191 mi",certified,2026-06-07,42667.94,31929.18,sold,rebuilt,1002
50024,NRKL7TV0TZVV7L58M,Hyundai,Tucson,2020,XLE,Green,27233,new,2025-04-18,21155.85,17255.28,sold,SALVAGE,1004
50025,1HP74LN51FJXPB88B,BMW,3 Series,2025,Base,White,75740,new,2024-09-23,11786.59,8877.97,sold,clean,1005
50026,ECM1LLXGNNX3J9VVR,Honda,Accord,2023,LE,Green,93672,new,2024-12-15,56573.23,42875.25,pending,salvage,1005
50027,EL9HKV723469PBNG8,Ford,Edge,2018,Limited,Blue,"17,386 mi",used,2025-04-12,37560.96,34785.33,sold,clean,1003
50028,G18GVXEKA9U4ZS9YF,Toyota,Tacoma,2025,XLE,Black,89419,used,2023-09-18,48178.53,40395.45,sold,rebuilt,1003
50029,0M57LJY7XDJMYSHLM,Hyundai,Santa Fe,2023,LE,Silver,"33,053 mi",new,2023-07-13,26922.18,20838.45,sold,clean,1003
50030,5KS158NA5XF3NA24M,Nissan,Frontier,2022,Sport,Red,"71,547 mi",used,2023-10-23,52451.22,-211.71,in_stock,salvage,1003
50031,UAP2EVZWTBMF01YBX,Toyota,Tacoma,2024,XLE,Red,17855,certified,2024-11-14,52085.82,38933.79,sold,clean,1003
50032,ZEF8W92N3SCZT2C7A,Honda,CR-V,2026,XLE,White,4449,new,2025-01-13,45898.68,37891.37,sold,rebuilt,1003
50033,ET52GM3YD80Y9XN77,Honda,Pilot,2024,Limited,Green,4373,used,2025-10-28,17818.2,15084.06,sold,salvage,1001
50034,7NMF759XVX6V76B2C,Hyundai,Sonata,2024,XLE,Blue,66502,used,2023-12-20,11241.21,9596.4,sold,rebuilt,1003
50035,X40K76DFZ1L12FD0J,Chevrolet,Malibu,2023,Limited,White,21840,certified,2025-01-29,25610.81,21810.23,sold,clean,1001
50036,2WNLS8YYP9NRRFTSK,Toyota,Tacoma,2021,XLE,Red,36383,used,2024-11-12,29430.72,22727.69,sold,clean,1003
50037,FCBBKFACBPL323F6A,Ford,Edge,2024,Limited,Green,56986,used,2025-04-20,42211.76,43575.86,sold,salvage,1004
50038,FKJH0N0N6XL7E622H,Nissan,Sentra,2022,LE,Silver,18827,certified,2023-08-16,51412.44,42000.04,sold,clean,1002
50039,VW2BRV1TH8XA6NGJP,Chevrolet,Equinox,2019,Base,Green,"89,411 mi",used,2023-09-07,15068.38,12047.92,sold,salvage,1003
50040,GWG1U31MN6NJ52CLV,Chevrolet,Malibu,2025,Sport,White,3908,certified,2025-07-17,23737.68,21960.69,sold,clean,1003
50041,ZJXNY0SAF10U8DYVT,Jeep,Cherokee,2021,Limited,Red,74282,used,2026-01-09,47507.36,44382.49,sold,rebuilt,1001
50042,ES4BVJEKGACV387ZK,Nissan,Sentra,2017,Base,Black,66110,used,2023-07-31,44579.36,42401.73,sold,clean,1005
50043,DXUVG6FBZ18PKP3C6,Nissan,Frontier,2016,Sport,Silver,92343,new,2025-05-15,22025.8,19084.58,in_stock,clean,1006
50044,YF60JDW67BCWNA52J,BMW,5 Series,2023,LE,White,24629,certified,2025-03-25,24597.69,20373.49,sold,rebuilt,1003
50045,4PWP6SJRAET3T470B,Jeep,Wrangler,2019,Limited,Black,91325,new,2026-02-28,31750.97,25021.74,sold,clean,1005
50046,BUUPPC0CDSTC3BD72,Jeep,Cherokee,2024,XLE,Blue,"64,879 mi",new,2025-12-05,12760.49,11148.33,sold,clean,1005
50047,4VWKM88YBFPK0J35W,Hyundai,Santa Fe,2025,XLE,White,57651,used,2026-05-14,35985.96,32814.51,sold,salvage,1002
50048,VMBRX685RHMTDVS1P,Ford,F-150,2022,LE,Green,13410,certified,2025-02-16,13579.01,10146.66,sold,rebuilt,1002
50049,XZ9K64ZW1EZ8RBS89,Honda,Pilot,2021,Limited,Black,63323,certified,2026-06-26,23418.29,20994.9,sold,rebuilt,1003
50050,FGZZ0GC8WH21GF0BE,Nissan,Rogue,2023,Base,Blue,15002,used,2026-01-21,34598.04,27388.63,sold,,1005
50051,LTMD1D0EG273AYUSY,BMW,5 Series,2018,Sport,Red,66455,new,2025-01-12,53756.02,41443.37,sold,salvage,1002
50052,SJY50JHMSCNW9DX3T,Honda,Odyssey,2019,Base,Gray,32411,certified,2025-05-26,22503.85,-434.5,in_stock,,1002
50053,BE8PZBXWV0NGGRGKZ,Honda,Civic,2020,Sport,Black,9324,used,2026-04-10,24699.2,18354.0,sold,rebuilt,1005
50054,3T7H1JUN3HNFVYRVA,BMW,5 Series,2023,LE,Green,44829,new,2025-08-27,13683.75,11823.21,sold,salvage,1001
50055,1AJGD448JYM5NVTUZ,BMW,X3,2017,Limited,Black,7100,new,2024-03-13,28068.74,20828.97,sold,salvage,1004
50056,BTLY5ZUMR6SYPT6JW,BMW,X5,2024,Sport,Red,1950,certified,2025-12-20,12472.33,13318.38,in_stock,rebuilt,1005
50057,T2ANRT8HR7AY88YJL,Chevrolet,Equinox,2018,Base,Green,24149,new,2025-01-14,26478.32,20301.84,sold,salvage,1006
50058,PW0PZCDJGX3SN213U,ford,F-150,2026,LE,Gray,6191,certified,2023-12-23,9255.47,8451.78,sold,rebuilt,1003
50059,WVXXSL188N8XWKPF9,Hyundai,Santa Fe,2026,Limited,Red,"90,934 mi",new,2024-04-28,36309.71,30412.96,sold,rebuilt,1006
50060,H19MV66AZTHETC40U,Hyundai,Elantra,2023,Sport,Silver,67128,certified,2024-06-12,26287.94,23495.0,sold,clean ,1001
50061,9ST03LPRWX4YGYKKP,Ford,Mustang,2016,Limited,Green,2301,new,2024-08-12,39451.34,31698.96,sold,salvage,1003
50062,PRWTGW181P9K0LGVR,BMWa,X5,2023,LE,Green,"56,720 mi",used,2026-01-12,27899.84,23795.46,sold,rebuilt,1003
50063,FG2TTHK28F96DHYR6,FORD,Edge,2020,Base,Silver,67460,certified,2023-11-16,14110.0,11109.67,sold,clean,1003
50064,VL1FWJK5WBVZFLLY9,Handa,Odyssey,2025,LE,Blue,41730,new,2025-04-09,37420.37,29573.43,sold,clean,1004
50065,T2CHKZT6M2RGYD9EA,Toyota,Tacoma,2024,Sport,Gray,11445,new,2026-06-20,40958.26,35501.7,sold,Clean,1004
50066,C1UKLR09U982F3VVE,Toyota,RAV4,2018,Base,White,"78,482 mi",new,2025-10-19,46575.61,36639.21,sold,salvage,1002
50067,J2UP1FHS7DX7G4L9U,Nissan,Frontier,2023,XLE,Silver,92543,used,2024-11-18,27630.79,20956.27,sold,clean,1005
50068,9Z2CH449Y365YRJW5,BMW,3 Series,2021,LE,Red,75149,certified,2024-05-08,11733.73,9950.67,sold,clean,1002
50069,2H05VJN2N5AP5F6E4,Toyota,Corolla,2021,Limited,Red,49554,new,2025-10-26,55761.22,42489.58,sold,rebuilt,1001
50070,R1P2NHPKJMPDVMGDR,BMW,X3,2023,Limited,Blue,44282,used,2025-10-22,46471.86,36968.06,sold,salvage,1005
50071,Y5P87ZAFMJJKBERP5,Ford,F-150,2016,XLE,Silver,"94,770 mi",new,2024-02-18,33972.95,27873.08,sold,clean,1004
50072,KJN34WSK4RFSABPSN,Nissan,Altima,2019,Sport,Blue,38889,new,2025-08-23,43539.76,40889.78,sold,clean,1004
50073,XG9HEA2VKMLSE89YP,Chevralet,Tahoe,2026,LE,Black,37820,used,2023-09-11,48650.79,42858.21,sold,clean,1001
50074,SCFWUHA9PWUTKYS8V,Toyota,Tacoma,2018,XLE,Red,18569,certified,2025-09-13,22502.91,27161.17,sold,rebuilt,1003
50075,DE05EFAVS5MSWFBKW,Honda,Pilot,2018,XLE,Black,"76,514 mi",certified,2024-03-31,33764.9,28310.48,pending,rebuilt,1003
50076,3F745M3JBWL80FDFW,Hyundai,Tucson,2017,Base,Blue,36911,certified,2023-12-04,53616.81,41928.28,sold,rebuilt,1001
50077,XK99BCW3B0U3B0C9W,Ford,Explorer,2026,Limited,Blue,62750,new,2024-07-31,35088.03,31512.05,sold,salvage,1003
50078,5YJ1RLLTVHRRNXDME,Honda,Pilot,2016,LE,Gray,62831,new,2024-01-08,9621.8,8531.64,in_stock,rebuilt,1006
50079,07D9NL92CTG1GWRYU,BMW,3 Series,2019,XLE,Red,3077,used,2025-05-11,44138.34,38538.76,sold,salvage,1001
50080,PCYF9H09ZSYA4JK0C,Ford,Explorer,2025,Limited,Silver,38678,new,2025-09-17,38632.6,32579.82,sold,CLEAN,1005
50081,1ZY2YDLJAB0NW8K50,Honda,Odyssey,2017,LE,Green,"28,015 mi",certified,2025-08-23,46602.13,36348.64,in_stock,clean,1002
50082,C69RUBA55E3DGBRH5,Nissan,Pathfinder,2019,XLE,Green,33424,certified,2026-03-31,35399.92,28207.51,sold,clean ,1005
50083,XJ1GMLTBDCJXN8YFR,Hyundai,Tucson,2021,Base,Blue,60841,used,2025-01-21,24136.88,21619.01,sold,clean,1001
50084,JRZFCL4WMHWJ9WE1R,Ford,Escape,2020,XLE,Gray,64359,certified,2025-10-19,48899.42,43265.8,sold,rebuilt,1004
50085,F06ATZNRAVRTUH09K,Ford,Mustang,2022,Limited,Gray,80958,new,2025-10-12,30085.64,23394.82,in_stock,clean,1003
50086,DGARFEHWA8Z064LE3,Nissan,Rogue,2019,XLE,Red,"1,483 mi",new,2024-06-21,35019.7,26221.66,sold,clean,1003
50087,KRKG2FR6FX9B8RK8H,Nissan,Rogue,2020,Sport,White,62752,used,2025-06-03,23197.61,20342.63,in_stock,clean,1003
50088,LNRKJ7DWTSJ7VBL1Z,Jeep,Cherokee,2021,Limited,Silver,82807,certified,2025-05-13,24985.02,19302.04,sold,clean,1005
50089,BXFTSM7R8UCTU8FEN,Ford,Explorer,2018,XLE,Green,3818,certified,2024-06-08,46511.62,42296.78,in_stock,rebuilt,1001
50090,LXXZ2NVHTHZ66HD5T,Hyundai,Tucson,2025,LE,White,34161,certified,2025-03-31,46560.46,34723.92,sold,clean,1006
50091,M5UX5U03ZK0B84NR7,Chevrolet,Traverse,2019,Sport,Silver,83735,certified,2025-06-13,25442.88,23320.99,sold,clean,1002
50092,2PKSEDM2ZX8V7TVN2,Jeep,Wrangler,2022,Sport,White,85047,certified,2024-03-16,16709.36,14688.2,sold,clean,1003
50093,PU2U7N0RY1LGXVK3J,Ford,F-150,2022,Sport,Green,77615,used,2026-06-14,31049.0,27251.13,in_stock,clean,1001
50094,65ZUEWT87MBUYRR51,Ford,Mustang,2025,Sport,Red,50780,new,2024-07-13,11432.59,10275.96,sold,clean,1001
50095,MPPE798P03RMEG96G,Hyundai,Tucson,2022,LE,Gray,6554,new,2024-11-10,17551.51,13563.64,sold,,1006
50096,3YACV5T6LR2G13KC5,BMW,X5,2025,LE,Red,83551,new,2024-05-31,38385.63,35373.76,sold,salvage,1004
50097,J7S2AB500ATAUHN9R,Hyundai,Tucson,2024,Limited,Black,30234,used,2023-11-29,51598.73,40638.27,sold,clean,1001
50098,92HM03E34TCLAJBKL,Honda,Pilot,2018,XLE,Silver,84169,new,2025-07-30,16402.76,13520.13,in_stock,salvage,1004
50099,8DWPNNMNTBHM2E62T,Hyundai,Elantra,2025,Limited,Silver,56740,new,2024-03-05,25100.23,23289.56,pending,salvage,1004
50100,J4U1XK36T7H9E43C8,BMW,X3,2019,Base,Blue,7245,certified,2023-10-31,18035.92,15758.36,sold,clean,1001
50101,S4WJP9LJSYXMKBWGL,Toyota,Camry,2020,XLE,Blue,6865,new,2026-03-16,34604.31,29055.79,sold,clean,1006
50102,GFN2YTZLYXG51X3R3,Hyundai,Tucson,2020,Limited,Silver,33793,certified,2024-07-07,15290.52,12018.56,sold,clean,1001
50103,GVNA2GWSM990V5CB3,Ford,Mustang,2025,Limited,Blue,"20,002 mi",certified,2023-10-28,54712.02,42324.65,in_stock,rebuilt,1006
50104,4T4D169XBNGK67CYN,Honda,Odyssey,2026,Limited,Blue,"75,824 mi",new,2023-10-21,21176.29,16252.12,sold,rebuilt,1004
50105,68NR9ABTFTNL3WWHA,Jeep,Grand Cherokee,2020,LE,White,32991,certified,2023-07-19,34780.19,26761.36,sold,clean,1002
50106,T8ERWLFEV5V26X8RL,Toyota,Camry,2021,Base,Blue,49171,certified,2025-06-03,42380.46,33771.72,sold,clean,1006
50107,KT72H6UDRXPCCY1UH,Nissan,Altima,2023,LE,Gray,36677,new,2025-05-29,27929.39,23531.0,in_stock,rebuilt,1002
50108,XDJJ9NCKKERP6BTXC,Nissan,Altima,2019,Limited,Gray,23862,certified,2023-09-24,46627.53,38949.83,sold,REBUILT,1001
50109,H5KYY18SH1CK794NV,BMW,5 Series,2024,Sport,Green,35965,new,2023-11-08,17798.31,15172.69,sold,rebuilt,1004
50110,LHGCYPF2HY127Y5GP,Jeep,Compass,2020,Base,Black,53507,used,2024-07-10,38794.53,35591.64,sold,salvage,1002
50111,2XZVZC9XXTY9C1DWS,Ford,Edge,2025,Limited,Gray,82553,certified,2026-02-04,28659.14,27227.65,sold,clean,1005
50112,C0WDZJGBMA868ND9F,Nissan,Frontier,2021,LE,Black,"51,852 mi",used,2023-11-13,37079.09,28154.61,sold,rebuilt,1002
50113,WGK5GRK0RSJZ9TBWF,Chevrolet,Equinox,2022,LE,Gray,73971,new,2023-10-11,29522.6,22333.09,sold,salvage,1003
50114,9ZAKW3EBE1FA8GS78,Fard,Escape,2026,Limited,Green,42736,used,2023-10-20,41543.87,38591.84,sold,salvage,1006
50115,WCSMWAVWBGLE5Y4PW,BMWa,5 Series,2019,Sport,Black,"51,610 mi",new,2024-07-22,36198.03,31464.05,sold,salvage,1003
50116,465Z1V29N1SPKCVG3,Jeep,Cherokee,2024,XLE,White,20901,used,2024-08-03,13698.94,11137.11,sold,rebuilt,1001
50117,7RJU16RFW1ULYB9MS,Toyota,Tacoma,2018,XLE,Blue,67523,new,2026-05-29,47264.85,44590.78,in_stock,rebuilt,1002
50118,TLLFSRJWA2E2V2BZ2,Hyundai,Sonata,2025,LE,Gray,64307,new,2024-02-15,46623.62,34732.94,sold,clean,1003
50119,NUREKYDMX2LF5U74D,Jeep,Grand Cherokee,2020,XLE,Black,"50,116 mi",used,2024-07-30,40659.13,34692.1,sold,rebuilt,1003
50120,SBB5LW621AZPEP7P6,Ford,Explorer,2020,Sport,Gray,9218,new,2025-10-04,16816.81,13419.21,sold,salvage,1004
50121,83GJ9K4GLU65V9EWC,Chevrolet,Tahoe,2022,Limited,Black,33676,certified,2026-06-20,33210.57,25815.95,sold,clean,1002
50122,29UEB1LU6E1Z2N3XE,BMW,X3,2018,Base,Silver,61892,new,2024-08-04,11942.94,11339.6,sold,clean,1003
50123,1JBKSN1J8B20SEP7Y,Honda,CR-V,2022,LE,White,39240,used,2025-05-15,33731.66,26586.03,sold,clean,1003
50124,Z0JVDYCDUXFB213A0,Nissan,Rogue,2024,Limited,Black,71427,used,2023-10-06,46645.93,42451.52,pending,clean,1005
50125,08DLHG312CLMFT92Z,Jeep,Wrangler,2022,Limited,Blue,69013,new,2024-04-19,19637.4,15812.27,sold,clean,1001
50126,EXSRR11WVNV6VRDRV,BMW,3 Series,2026,LE,Gray,72400,used,2026-06-27,56499.35,42593.92,sold,clean,1004
50127,A1WD059843BE7L1GV,Nissan,Sentra,2026,Sport,White,45891,certified,2026-03-14,32258.65,24067.05,sold,clean,1001
50128,W20KG7V02XUN4VWRB,BMW,X3,2026,Sport,Red,"91,732 mi",used,2024-05-13,37901.1,34618.26,sold,,1003
50129,EY457JFZ4FNBJRL72,Honda,CR-V,2019,Limited,Black,94597,used,2025-08-26,47355.06,40960.84,sold,clean,1004
50130,V8GF7ZRUC4G5ZHF8X,Nissan,Frontier,2022,LE,Green,89101,used,2024-03-01,57005.86,43963.85,sold,rebuilt,1003
50131,7L69SPMM1P8NE3MWN,Nissan,Altima,2022,Limited,Red,23933,used,2024-08-06,14461.9,13637.49,in_stock,rebuilt,1001
50132,6AELPTZVF1U1B8GZC,ford,F-150,2016,Sport,Blue,48557,certified,2024-11-10,35288.69,28584.33,pending,clean,1006
50133,YMKKJDB1Z75WHWUJD,Hyundai,Santa Fe,2017,Limited,Blue,49085,certified,2024-03-16,37395.72,28300.04,in_stock,salvage,1001
50134,437BH81KHF47GKSCT,Chevrolet,Malibu,2022,XLE,Red,"22,672 mi",used,2024-02-01,9363.47,8047.19,sold,clean,1002
50135,GR43LLKC1EBJGSB0B,Hyundai,Santa Fe,2025,Sport,Green,53263,used,2024-06-25,35626.5,27957.16,in_stock,rebuilt,1002
50136,5WA6WPWWVH60141F2,Nissan,Pathfinder,2018,Base,White,826,certified,2025-04-08,49612.09,41039.03,sold,clean,1002
50137,JG2Y9A6K17CYEHRPD,Chevrolet,Traverse,2025,Base,Silver,76974,used,2025-11-26,32600.33,30960.45,sold,Clean,1003
50138,DZL7RHF52Z38MMUGL,Honda,Pilot,2024,Sport,Silver,"31,860 mi",new,2025-05-07,28085.69,25394.23,sold,clean ,1006
50139,MLMTMUTTB24FZMJJD,Toyota,Corolla,2025,Sport,Green,46391,certified,2026-02-24,29473.53,27103.15,sold,rebuilt,1004
50140,EH7LUZ1DZE9MDC3H5,Nissan,Frontier,2024,Base,Red,44231,new,2023-07-22,36217.28,28414.42,pending,salvage,1004
50141,6DR400MX7B8M7LAT4,Honda,Accord,2025,Limited,Red,34752,new,2026-05-08,55140.67,43570.74,sold,rebuilt,1001
50142,M8DKKVFCL3LGBPAPM,Honda,Pilot,2016,Limited,Black,56508,used,2026-04-02,15053.42,11179.06,pending,,1003
50143,LRD7RFR6K7M56EPCW,Chevrolet,Silverado,2018,LE,Red,43191,new,2026-05-04,21707.63,16797.7,sold,clean,1004
50144,6C60K0SENXWERH6TT,Hyundai,Elantra,2024,XLE,Green,60148,used,2023-09-29,10502.86,8254.56,sold,clean,1006
50145,0YEAKG5GA5UXSFY4V,Honda,Odyssey,2026,Sport,Blue,5432,certified,2024-12-07,20265.56,18404.26,in_stock,salvage,1001
50146,4R0NJU7FHAH4KH7TV,BMW,5 Series,2022,Limited,Green,30956,certified,2025-01-07,24635.09,20532.23,sold,clean,1002
50147,B8DUUYH1VMSB14EAH,Honda,Pilot,2023,XLE,Green,88850,used,2024-12-03,15132.81,11287.84,in_stock,salvage,1005
50148,V8NB7ZNYPLUPY0HSN,Nissan,Rogue,2019,Base,Blue,15642,new,2025-02-05,18268.7,13972.22,in_stock,salvage,1004
50149,N877LDWR8H99UK6H1,Jeep,Cherokee,2025,Sport,Silver,16161,used,2024-05-11,19317.9,17053.87,pending,rebuilt,1004
50150,2W0UWA32WKYPL9N2R,Nissan,Sentra,2016,Limited,Black,2424,used,2026-03-17,19755.14,16064.58,in_stock,salvage,1001
50151,4Y5LN4H3DE4EGS4UD,Honda,Odyssey,2022,Limited,Silver,2239,new,2025-07-19,13499.52,12195.37,sold,rebuilt ,1005
50152,9W6VE1RMLXZ3RR43A,Toyota,RAV4,2018,LE,Silver,63937,new,2026-03-13,13976.77,10786.95,sold,clean,1002
50153,XEBK6FBZFT63DY1JS,Honda,Pilot,2019,Base,Red,22848,certified,2026-03-01,43645.43,32331.85,in_stock,clean,1003
50154,XT2P7PSRACRAU6G12,BMW,X5,2018,LE,Silver,84302,used,2026-05-25,31151.62,27064.24,sold,salvage,1006
50155,AGFJZJD89G8VGW1Z3,Ford,Explorer,2022,LE,Gray,68984,new,2024-10-29,33923.92,31882.93,sold,rebuilt,1001
50156,SXZT4LJKW621CD8WA,BMW,3 Series,2025,Base,Blue,59760,new,2025-08-25,40778.1,36385.95,sold,salvage,1002
50157,Y4AT10UUX166004EL,Hyundai,Elantra,2019,XLE,Black,48606,used,2026-05-06,23553.87,21820.32,in_stock,,1001
50158,ULBGKG6JMCWRTMMBJ,Honda,CR-V,2020,Base,Blue,3358,new,2026-02-23,40305.51,30657.68,pending,rebuilt,1005
50159,RX8GP1E956T890P0L,Jeep,Compass,2021,Limited,Silver,"58,445 mi",new,2025-05-16,29999.73,26946.63,pending,rebuilt,1002
50160,8JVSA9V2C4THWWK0D,Jeep,Cherokee,2025,Sport,Red,38209,new,2026-01-20,35578.84,30879.81,in_stock,salvage,1002
50161,YVYUZAXM1ZS7CT739,Chevrolet,Tahoe,2016,Limited,Red,2192,new,2025-12-18,32593.85,25973.86,in_stock,salvage,1003
50162,8DHUMYBSN4S1RWCKG,Hyundai,Tucson,2017,Base,Silver,3953,used,2024-06-26,10799.32,10005.57,sold,salvage,1003
50163,PB434NWH31D0X85NC,Nissan,Frontier,2020,XLE,Silver,3448,new,2023-07-13,40614.25,31238.16,sold,salvage,1006
50164,HHCP87NBC58G25A31,Nissan,Rogue,2022,Limited,Blue,"27,736 mi",new,2024-11-14,16624.45,14888.32,sold,REBUILT,1005
50165,JVCGUD0WNRU1T7S9V,Nissan,Rogue,2019,Limited,Silver,29511,new,2025-04-26,50401.71,42711.05,sold,rebuilt,1002
50166,3KBCPMRCLAHJ12DH8,BMW,5 Series,2019,Limited,Silver,30431,used,2025-10-06,36568.56,34701.37,sold,rebuilt,1003
50167,13JVWR387ATFFB9CD,Jeep,Cherokee,2026,LE,Blue,61141,used,2025-09-07,25730.65,20787.67,sold,clean,1004
50168,K8YPF58EA0R5MZ3Z1,Nissan,Frontier,2019,LE,Gray,68953,used,2024-03-01,52745.62,42300.96,sold,salvage,1002
50169,EJ561B12J0077VWHG,Nissan,Rogue,2018,Limited,Silver,4060,new,2023-11-29,34786.02,28227.03,sold,salvage,1005
50170,V7FN47H4E3V9EK1SJ,Nissana,Rogue,2023,Limited,Silver,"82,746 mi",certified,2025-05-11,18646.17,14490.36,sold,rebuilt,1001
50171,7CR9LUL0K8DV5RUWW,Nissan,Sentra,2022,LE,Green,27657,new,2025-09-16,39106.27,37210.18,pending,rebuilt,1006
50172,LEFZZELN431C9MRKS,Nissan,Pathfinder,2021,Base,Black,"12,923 mi",new,2023-07-28,20683.25,17527.29,sold,salvage,1002
50173,GDFPLU7D7ND9GVFUM,Jeep,Wrangler,2019,Sport,Silver,2525,used,2025-10-14,42355.22,34643.2,sold,salvage,1004
50174,E3YT96205F0E32ZYF,Nissan,Sentra,2023,LE,Green,57880,new,2023-12-06,57098.29,44693.24,pending,rebuilt,1005
50175,MJVYNG2XF1VVGAYUA,Hyundai,Santa Fe,2016,Limited,Silver,12195,used,2026-05-04,42995.58,36429.16,sold,clean,1006
50176,GC64YFRGG8B6EY5TH,Chevrolet,Traverse,2022,Sport,Black,2491,used,2024-09-26,47191.5,37770.58,sold,rebuilt,1004
50177,MBN0K06WDEYVF0B29,Jeep,Compass,2025,Limited,Silver,71673,new,2025-02-09,39849.74,32993.97,sold,rebuilt,1001
50178,XHT23506G1XVBJNGN,Honda,Odyssey,2020,LE,Blue,70135,used,2024-11-22,13238.63,11371.87,in_stock,rebuilt,1004
50179,Z6BCG4VZEKLUDMR5N,Chevrolet,Traverse,2016,LE,Red,28818,certified,2025-11-21,40257.96,32827.64,sold,rebuilt,1001
50180,LKZZN54LHA0NM5J5J,Nissan,Pathfinder,2016,Sport,Gray,24113,used,2023-10-25,43604.41,38503.29,in_stock,clean,1004
50181,T0D9PA2JTH5DU38KW,Jeep,Cherokee,2018,Sport,Blue,2168,used,2023-07-13,37043.36,31957.49,sold,rebuilt,1005
50182,5KALLP58A57CEXLWM,Honda,Odyssey,2020,XLE,White,80712,new,2023-10-15,31853.21,23874.22,in_stock,clean,1001
50183,YTK8B9PG9HDSUNB6G,Toyota,Corolla,2020,Limited,Green,52948,used,2025-04-02,17521.81,16033.8,sold,Clean,1005
50184,20G8U9W35TKLNL2TL,Chevrolet,Silverado,2021,Base,Silver,"72,000 mi",used,2025-06-29,40693.8,35628.95,sold,rebuilt,1004
50185,WD34FKUZBFE4CGLUH,Nissana,Pathfinder,2024,Base,Black,50704,certified,2025-11-03,57041.74,44862.52,sold,rebuilt,1006
50186,MF1U7MBLD1NEWECJU,Hyundai,Elantra,2020,LE,White,80008,certified,2024-03-25,15782.22,14608.19,sold,clean,1005
50187,8MU6J8PE8C4DWU1KB,jeep,Cherokee,2019,Sport,Silver,75134,certified,2024-03-07,49037.13,37502.91,pending,clean,1003
50188,FGUB6ER41WJA8DNRV,Jeepa,Compass,2018,Sport,Black,19420,new,2024-02-21,12775.45,10818.38,sold,salvage,1006
50189,G3VDBU90LTHURU04W,Chevrolet,Malibu,2022,Sport,White,"74,565 mi",new,2025-12-25,30675.0,26110.25,in_stock,salvage,1005
